crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771099110.4789975,2,8,0,8,0,35.8152,36.4346,50.00,0.6193
1,1771099183.5804975,2,16,0,16,0,37.5269,38.1478,40.00,0.6208
2,1771099245.2886639,2,9,9,0,0,36.2578,36.6570,23.68,0.3992
3,1771099249.579926,2,13,0,13,0,36.6329,37.1449,29.55,0.6927
4,1771099250.8801143,2,15,0,15,0,37.7712,38.3995,37.50,0.6264
5,1771099262.5624926,2,17,0,17,0,38.3243,38.0404,65.38,-0.2114
6,1771099325.9209676,2,12,0,12,0,38.1076,38.1979,35.29,-0.1685
7,1771099372.0896115,2,14,0,14,0,37.9582,38.0933,50.00,0.2743
8,1771099477.6802588,2,12,0,12,0,34.6760,38.1914,50.00,0.4626
9,1771099499.377957,2,2,0,2,0,19.5149,0.0000,10.00,0.0000
10,1771099585.0887563,2,6,0,6,0,38.1362,38.0369,16.67,-0.1651
11,1771099594.6012394,2,15,0,15,0,34.9095,38.5991,68.18,1.3516
12,1771099716.2886722,2,4,0,4,0,36.8440,38.3192,22.22,0.4461
13,1771099720.5875947,2,1,1,0,0,0.0000,0.0000,4.55,0.0000
14,1771099853.659088,2,9,0,9,0,33.3923,37.2221,45.00,-0.1639
15,1771099941.798492,2,4,0,4,0,37.4584,36.8321,14.29,0.2279
16,1771099946.5687025,2,5,0,5,0,30.6601,39.3095,25.00,0.8930
17,1771099951.8592715,2,5,0,5,0,38.7855,38.2047,31.25,-0.9205
18,1771099988.157567,2,1,1,0,0,0.0000,0.0000,6.25,0.0000
19,1771100018.237552,2,1,1,0,0,0.0000,0.0000,5.56,0.0000
