crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771111456.6698203,2,9,9,0,0,36.2547,37.4133,25.00,0.9865
1,1771111517.9886467,2,4,4,0,0,36.8188,37.4322,10.00,0.6134
2,1771111543.1300883,2,12,12,0,0,35.9530,36.4675,37.50,0.5145
3,1771111553.549481,2,9,9,0,0,37.6279,38.4323,28.12,0.8044
4,1771111652.9792123,2,4,4,0,0,36.8663,37.0834,10.53,0.1596
5,1771111878.5796623,2,7,7,0,0,37.1172,37.7565,12.50,0.6393
6,1771111881.5589523,2,20,20,0,0,37.0240,37.3734,50.00,0.6619
7,1771111926.4984233,2,1,1,0,0,36.8159,37.8987,2.27,1.0827
8,1771111983.6488016,2,2,2,0,0,37.5193,37.7499,5.26,0.2306
9,1771111997.8795083,2,5,5,0,0,38.7721,38.2371,11.90,-0.0995
10,1771112054.9293108,2,6,6,0,0,37.4930,37.0038,15.00,-0.4891
11,1771112081.510077,2,10,10,0,0,36.5113,36.8260,29.41,0.3168
12,1771112141.8688867,2,2,2,0,0,37.6114,36.6292,3.70,-2.4020
13,1771112170.5692983,2,4,4,0,0,37.0094,37.3803,7.14,0.2268
14,1771112196.638908,2,6,6,0,0,37.2888,0.0000,11.54,0.0000
15,1771112260.428641,2,2,2,0,0,37.4409,37.0015,4.00,-0.4394
