crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771099064.0105724,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1771099090.4318311,2,7,0,7,0,14.1394,14.9589,116.67,0.7409
2,1771099160.2433507,2,12,0,0,12,16.3431,15.5840,50.00,-0.5114
3,1771099165.9816086,2,3,0,0,3,16.7768,0.0000,8.82,0.0000
4,1771099224.3717248,2,4,0,0,4,15.9846,16.9569,12.50,0.7165
5,1771099271.1633356,2,23,0,0,23,16.5460,16.3283,383.33,0.4480
6,1771099365.3111315,2,3,0,0,3,16.4635,17.9453,12.50,1.4818
7,1771099487.9213088,2,4,0,0,4,16.4985,0.0000,13.33,0.0000
8,1771099544.5124533,2,7,0,0,7,17.3099,0.0000,29.17,0.0000
9,1771099548.352013,2,6,0,0,6,17.4988,0.0000,21.43,0.0000
10,1771099560.4444401,2,29,0,0,29,16.9080,0.0000,483.33,0.0000
11,1771099593.4023507,2,5,0,0,5,16.8159,15.6054,16.67,0.7165
12,1771099678.9715667,2,3,0,0,3,17.7459,0.0000,10.71,0.0000
13,1771099747.3310587,2,2,0,0,2,16.0813,0.0000,5.56,0.0000
14,1771099805.3116295,2,6,0,0,6,17.8104,18.9603,27.27,0.4464
15,1771099812.041293,2,4,0,0,4,18.2346,0.0000,15.38,0.0000
16,1771099815.7516024,2,8,0,0,8,17.4743,0.0000,40.00,0.0000
17,1771099830.0829499,2,20,0,0,20,16.2208,0.0000,1000.00,0.0000
18,1771099885.2018456,2,3,0,0,3,18.1840,0.0000,12.50,0.0000
19,1771099987.7251537,2,29,0,0,29,16.4313,16.5719,0.00,0.0000
