timestamp,2,5,6,8,9,14,18,23,25,28,33,34
1755089385.4443488,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
1755089385.4446392,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
1755089385.501033,0.00,3.33,0.00,8.33,17.67,0.00,0.00,0.00,25.00,0.00,0.00,0.00
1755089385.5014083,0.00,3.33,0.00,8.33,17.67,0.00,0.00,0.00,25.00,0.00,0.00,0.00
1755089385.7965755,7.66,3.33,17.67,8.33,17.67,0.00,0.00,0.00,25.00,4.00,0.00,0.00
1755089385.796992,7.66,3.33,17.67,8.33,17.67,0.00,0.00,0.00,25.00,4.00,0.00,0.00
1755089386.0959263,10.99,3.33,17.67,8.33,17.67,0.00,17.67,0.00,25.00,4.00,0.00,0.00
1755089386.0963118,10.99,3.33,17.67,8.33,17.67,0.00,17.67,0.00,25.00,4.00,0.00,0.00
1755089401.7879703,10.99,3.33,17.67,8.33,26.00,0.00,17.67,0.00,25.00,4.00,0.00,21.00
1755089401.7884018,10.99,3.33,17.67,8.33,26.00,0.00,17.67,0.00,25.00,4.00,0.00,21.00
1755089402.0902748,10.99,3.33,17.67,8.33,26.00,0.00,17.67,0.00,25.00,4.00,4.00,42.00
1755089402.090676,10.99,3.33,17.67,8.33,26.00,0.00,17.67,0.00,25.00,4.00,4.00,42.00
1755089402.3926802,10.99,3.33,38.67,8.33,26.00,0.00,17.67,0.00,25.00,4.00,4.00,42.00
1755089402.3930805,10.99,3.33,38.67,8.33,26.00,0.00,17.67,0.00,25.00,4.00,4.00,42.00
1755089402.696221,10.99,3.33,56.34,8.33,26.00,0.00,17.67,0.00,25.00,4.00,4.00,42.00
1755089402.6966171,10.99,3.33,56.34,8.33,26.00,0.00,17.67,0.00,25.00,4.00,4.00,42.00
1755089426.0092015,10.99,11.66,56.34,8.33,26.00,0.00,35.34,0.00,25.00,4.00,4.00,42.00
1755089426.0096133,10.99,11.66,56.34,8.33,26.00,0.00,35.34,0.00,25.00,4.00,4.00,42.00
1755089426.3158028,19.32,11.66,56.34,8.33,26.00,0.00,53.01,0.00,25.00,4.00,4.00,42.00
1755089426.3162177,19.32,11.66,56.34,8.33,26.00,0.00,53.01,0.00,25.00,4.00,4.00,42.00
1755089426.6065457,19.32,11.66,56.34,8.33,26.00,0.00,53.01,0.00,42.67,4.00,4.00,42.00
1755089426.606778,19.32,11.66,56.34,8.33,26.00,0.00,53.01,0.00,42.67,4.00,4.00,42.00
1755089426.9079475,19.32,11.66,56.34,8.33,26.00,0.00,53.01,0.00,42.67,21.67,4.00,42.00
1755089426.9083586,19.32,11.66,56.34,8.33,26.00,0.00,53.01,0.00,42.67,21.67,4.00,42.00
1755089447.0275674,19.32,15.66,56.34,29.33,26.00,0.00,53.01,0.00,42.67,21.67,4.00,42.00
1755089447.0279832,19.32,15.66,56.34,29.33,26.00,0.00,53.01,0.00,42.67,21.67,4.00,42.00
1755089447.3294985,19.32,15.66,74.01,29.33,26.00,0.00,53.01,0.00,46.67,21.67,4.00,42.00
1755089447.329913,19.32,15.66,74.01,29.33,26.00,0.00,53.01,0.00,46.67,21.67,4.00,42.00
1755089447.6253657,19.32,15.66,74.01,38.00,35.00,0.00,53.01,0.00,46.67,25.67,4.00,42.00
1755089447.625601,19.32,15.66,74.01,38.00,35.00,0.00,53.01,0.00,46.67,25.67,4.00,42.00
1755089447.9198072,19.32,15.66,82.68,42.00,35.00,0.00,53.01,0.00,46.67,25.67,4.00,51.00
1755089447.920044,19.32,15.66,82.68,42.00,35.00,0.00,53.01,0.00,46.67,25.67,4.00,51.00
1755089466.7793355,19.32,15.66,82.68,42.00,35.00,0.00,61.34,0.00,46.67,25.67,4.00,68.67
