crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771167566.1612759,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1771167606.2132113,2,9,0,9,0,3.4734,4.9367,18.75,1.4632
2,1771167644.6829827,2,14,0,14,0,3.9572,3.9188,26.92,-0.0384
3,1771167653.6317961,2,2,0,2,0,5.5447,6.0151,4.00,-0.2880
4,1771167677.545366,2,8,0,8,0,4.0610,4.3173,18.18,0.2564
5,1771167712.4817827,2,1,0,1,0,4.3574,6.3452,1.92,1.9878
6,1771167800.0343041,2,17,0,17,0,3.3482,4.0137,44.74,0.6655
7,1771167813.3473208,2,30,0,30,0,3.3715,3.9748,187.50,0.6643
8,1771167985.9918542,2,5,0,5,0,3.5617,4.7683,10.87,0.3161
9,1771168023.492107,2,6,0,6,0,4.5545,4.0515,11.11,-0.5030
10,1771168054.4425175,2,11,0,11,0,3.9133,4.1543,23.91,0.2410
11,1771168059.7328458,2,6,0,6,0,3.4269,3.9963,15.79,-0.3486
12,1771168158.5031593,2,9,0,9,0,3.4173,3.7615,18.75,0.3441
13,1771168175.56243,2,4,0,4,0,3.9476,5.0278,7.69,1.0923
14,1771168215.8232126,2,18,0,18,0,3.4464,4.3846,64.29,0.7065
15,1771168219.292215,2,3,0,3,0,2.4866,3.1396,6.52,0.8801
16,1771168249.3128893,2,8,0,8,0,3.2344,4.0130,16.67,0.3165
17,1771168284.2521393,2,2,0,2,0,4.3158,4.6169,5.00,0.3011
18,1771168340.6115036,2,1,0,1,0,4.1906,5.7073,2.17,1.5168
