crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771024198.5535004,2,6,6,0,0,19.3683,20.0663,37.50,0.6980
1,1771024236.4830623,2,2,2,0,0,19.9390,20.3063,6.25,0.3673
2,1771024256.8831613,2,4,4,0,0,20.1181,20.6273,10.00,0.5092
3,1771024467.9136822,2,8,8,0,0,20.5533,20.8813,16.67,0.3280
4,1771024472.6328976,2,2,2,0,0,21.1207,20.7970,4.17,-0.3237
5,1771024492.8543296,2,12,12,0,0,20.6130,21.8724,25.00,1.2593
6,1771024496.0937767,2,7,7,0,0,20.8290,21.7971,18.42,0.8842
7,1771024541.8938656,2,9,9,0,0,20.9821,21.6418,18.75,0.6597
8,1771024555.6800783,2,7,7,0,0,20.6532,21.0104,14.58,1.8732
9,1771024624.7738388,2,8,8,0,0,20.9537,21.1603,17.39,0.2373
10,1771024821.0328014,2,2,2,0,0,23.6910,22.1748,4.17,-1.5162
11,1771024858.7443416,2,12,12,0,0,20.0947,21.5196,28.57,1.2808
12,1771024863.3446498,2,7,7,0,0,21.0401,22.0759,14.58,1.0357
13,1771024863.6732697,2,5,5,0,0,21.4015,21.5251,10.87,0.0039
14,1771024876.7934852,2,5,5,0,0,21.7843,22.3280,10.87,0.2210
15,1771024911.8929992,2,3,3,0,0,18.8511,19.4781,6.25,0.6270
16,1771024985.7731962,2,2,2,0,0,20.9860,20.6921,4.55,-0.2940
17,1771025099.8068838,2,11,11,0,0,21.0906,21.3039,19.64,0.2133
