timestamp;(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34)
1755017784.6250877;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;0.00;0.00;0.00;0.00;240.00;240.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;160.00
1755017784.6253722;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;0.00;0.00;0.00;0.00;240.00;240.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.00;160.00
1755017784.6606653;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;480.00;0.00;0.00;0.00;0.00;0.00;480.00;480.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00
1755017784.661044;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;480.00;0.00;0.00;0.00;0.00;0.00;480.00;480.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00
1755017784.6939478;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;720.00;0.00;0.00;0.00;0.00;0.00;560.00;560.00;160.00;160.00;160.00;160.00;160.00;160.00;160.00;0.00;320.00;320.00
1755017784.694311;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;720.00;0.00;0.00;0.00;0.00;0.00;560.00;560.00;160.00;160.00;160.00;160.00;160.00;160.00;160.00;0.00;320.00;320.00
1755017784.7249389;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;160.00;160.00;160.00;0.00;480.00;480.00
1755017784.7252922;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;160.00;160.00;160.00;0.00;480.00;480.00
1755017799.2433887;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;240.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;160.00;160.00;240.00;80.00;720.00;480.00
1755017799.2436244;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;240.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;160.00;160.00;240.00;80.00;720.00;480.00
1755017799.2747633;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;480.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;240.00;240.00;320.00;320.00;960.00;480.00
1755017799.274968;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;480.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;240.00;240.00;320.00;320.00;960.00;480.00
1755017799.3057942;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;720.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;320.00;320.00;400.00;400.00;1200.00;480.00
1755017799.3059866;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;720.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;320.00;320.00;400.00;400.00;1200.00;480.00
1755017799.3379998;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;960.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;400.00;400.00;480.00;640.00;1440.00;480.00
1755017799.3381956;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;0.00;960.00;0.00;800.00;800.00;160.00;160.00;160.00;160.00;400.00;400.00;480.00;640.00;1440.00;480.00
1755017820.237821;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;240.00;960.00;0.00;800.00;800.00;240.00;240.00;240.00;240.00;560.00;560.00;640.00;640.00;1440.00;480.00
1755017820.2380438;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;240.00;960.00;0.00;800.00;800.00;240.00;240.00;240.00;240.00;560.00;560.00;640.00;640.00;1440.00;480.00
1755017820.2609024;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;480.00;960.00;0.00;800.00;800.00;320.00;320.00;320.00;320.00;720.00;720.00;800.00;960.00;1440.00;480.00
1755017820.2611096;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;480.00;960.00;0.00;800.00;800.00;320.00;320.00;320.00;320.00;720.00;720.00;800.00;960.00;1440.00;480.00
1755017820.2934716;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;720.00;960.00;0.00;800.00;800.00;400.00;400.00;400.00;400.00;880.00;880.00;960.00;960.00;1440.00;480.00
1755017820.2938297;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;720.00;960.00;0.00;800.00;800.00;400.00;400.00;400.00;400.00;880.00;880.00;960.00;960.00;1440.00;480.00
1755017820.3303595;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;800.00;480.00;640.00;640.00;640.00;880.00;880.00;960.00;960.00;1440.00;480.00
1755017820.3307276;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;800.00;480.00;640.00;640.00;640.00;880.00;880.00;960.00;960.00;1440.00;480.00
1755017839.2583601;0.00;0.00;240.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;800.00;480.00;640.00;640.00;800.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017839.2585855;0.00;0.00;240.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;800.00;480.00;640.00;640.00;800.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017839.2820244;0.00;0.00;480.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;960.00;640.00;800.00;800.00;1040.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017839.282234;0.00;0.00;480.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;960.00;640.00;800.00;800.00;1040.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017839.304046;0.00;0.00;720.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;1120.00;800.00;960.00;960.00;1280.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017839.304255;0.00;0.00;720.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;1120.00;800.00;960.00;960.00;1280.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017839.331275;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;1120.00;800.00;960.00;960.00;1360.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017839.3316405;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;960.00;0.00;0.00;960.00;960.00;0.00;800.00;1120.00;800.00;960.00;960.00;1360.00;960.00;960.00;1040.00;1040.00;1520.00;560.00
1755017846.853179;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;720.00;0.00;0.00;960.00;960.00;0.00;560.00;880.00;800.00;960.00;960.00;1600.00;1200.00;1120.00;1200.00;1200.00;1360.00;400.00
1755017846.853574;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;720.00;0.00;0.00;960.00;960.00;0.00;560.00;880.00;800.00;960.00;960.00;1600.00;1200.00;1120.00;1200.00;1200.00;1360.00;400.00
1755017856.8660376;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;0.00;0.00;240.00;0.00;480.00;0.00;0.00;960.00;960.00;0.00;400.00;880.00;1040.00;960.00;960.00;1600.00;1200.00;1120.00;1200.00;1200.00;1280.00;320.00
1755017856.8664289;0.00;0.00;960.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;0.00;0.00;240.00;0.00;480.00;0.00;0.00;960.00;960.00;0.00;400.00;880.00;1040.00;960.00;960.00;1600.00;1200.00;1120.00;1200.00;1200.00;1280.00;320.00
1755017864.2731884;0.00;0.00;960.00;0.00;0.00;240.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;0.00;0.00;240.00;0.00;480.00;0.00;0.00;960.00;960.00;0.00;400.00;880.00;1040.00;960.00;1120.00;1760.00;1360.00;1280.00;1280.00;1280.00;1360.00;320.00
1755017864.2735777;0.00;0.00;960.00;0.00;0.00;240.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;0.00;0.00;240.00;0.00;480.00;0.00;0.00;960.00;960.00;0.00;400.00;880.00;1040.00;960.00;1120.00;1760.00;1360.00;1280.00;1280.00;1280.00;1360.00;320.00
1755017864.3035014;0.00;0.00;960.00;0.00;0.00;480.00;0.00;0.00;0.00;0.00;0.00;240.00;0.00;0.00;0.00;240.00;0.00;480.00;0.00;0.00;960.00;960.00;0.00;400.00;880.00;1040.00;960.00;1280.00;1920.00;1520.00;1440.00;1280.00;1280.00;1360.00;320.00
