crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769444102.589939,2,8,8,0,0
1,1769444126.2799523,2,7,7,0,0
2,1769444152.0999806,2,15,15,0,0
3,1769444174.8699088,2,2,2,0,0
4,1769444223.5899305,2,5,5,0,0
5,1769444238.8099809,2,12,12,0,0
6,1769444274.619949,2,9,9,0,0
7,1769444314.6099937,2,20,20,0,0
8,1769444357.4499793,2,7,5,2,0
9,1769444358.8199413,2,6,5,1,0
10,1769444360.5099697,2,12,12,0,0
11,1769444370.429959,2,6,6,0,0
12,1769444380.7799065,2,3,3,0,0
13,1769444393.1799135,2,0,0,0,0
14,1769444397.5699155,2,2,2,0,0
15,1769444406.1799045,2,0,0,0,0
16,1769444417.81994,2,11,11,0,0
17,1769444423.2099338,2,9,9,0,0
18,1769444443.589918,2,4,4,0,0
19,1769444486.1699123,2,3,3,0,0
20,1769444528.629937,2,12,12,0,0
21,1769444557.8099275,2,5,4,0,1
22,1769444572.6499271,2,9,9,0,0
23,1769444582.4899228,2,3,3,0,0
24,1769444629.319949,2,12,12,0,0
25,1769444671.6199284,2,4,4,0,0
26,1769444691.2499635,2,10,10,0,0
27,1769444716.4499733,2,18,18,0,0
28,1769444738.9599454,2,7,7,0,0
29,1769444745.7399728,2,13,13,0,0
30,1769444748.5199664,2,8,8,0,0
31,1769444752.5999537,2,8,8,0,0
32,1769444809.8699534,2,11,11,0,0
33,1769444837.4299676,2,12,12,0,0
34,1769444846.9099486,2,6,6,0,0
35,1769444890.729941,2,6,6,0,0
36,1769444911.66994,2,4,4,0,0
37,1769444918.6299407,2,4,4,0,0
38,1769444965.9699166,2,3,3,0,0
39,1769444975.0899274,2,3,3,0,0
