crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769437171.1896484,2,0,0,0,0
1,1769437171.8295817,2,0,0,0,0
2,1769437217.629593,2,6,6,0,0
3,1769437261.119563,2,2,2,0,0
4,1769437281.3496287,2,8,8,0,0
5,1769437344.549596,2,3,3,0,0
6,1769437355.2398007,2,9,9,0,0
7,1769437359.6796966,2,13,13,0,0
8,1769437404.179634,2,5,5,0,0
9,1769437419.4797003,2,12,12,0,0
10,1769437445.2196617,2,9,9,0,0
11,1769437471.0308802,2,8,8,0,0
12,1769437480.4096136,2,4,4,0,0
13,1769437499.5108705,2,7,7,0,0
14,1769437520.179619,2,13,13,0,0
15,1769437529.29966,2,13,13,0,0
16,1769437530.9798982,2,7,7,0,0
17,1769437568.7296128,2,2,2,0,0
18,1769437579.099636,2,4,4,0,0
19,1769437605.8996258,2,5,5,0,0
20,1769437607.6295779,2,5,5,0,0
21,1769437615.5796573,2,4,3,0,1
22,1769437635.2395973,2,1,1,0,0
23,1769437677.0396197,2,7,7,0,0
24,1769437688.789731,2,3,3,0,0
25,1769437692.6997592,2,13,13,0,0
26,1769437702.4896326,2,3,3,0,0
27,1769437705.8597248,2,1,1,0,0
28,1769437720.8495634,2,0,0,0,0
29,1769437788.659681,2,10,10,0,0
30,1769437836.409604,2,3,3,0,0
31,1769437845.7696636,2,10,10,0,0
32,1769437854.7898312,2,8,8,0,0
33,1769437871.9197178,2,5,5,0,0
34,1769437884.4096057,2,8,8,0,0
35,1769437939.8096309,2,8,8,0,0
36,1769437951.1814628,2,14,14,0,0
37,1769438005.0496788,2,8,8,0,0
38,1769438082.2503004,2,17,17,0,0
39,1769438115.4497154,2,8,8,0,0
