crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769437174.1548185,2,0,0,0,0
1,1769437179.2747703,2,0,0,0,0
2,1769437205.3749235,2,0,0,0,0
3,1769437253.1448383,2,4,4,0,0
4,1769437272.4947872,2,6,6,0,0
5,1769437285.224817,2,14,14,0,0
6,1769437311.5148861,2,10,10,0,0
7,1769437326.7147963,2,6,6,0,0
8,1769437368.0947838,2,5,5,0,0
9,1769437372.54479,2,0,0,0,0
10,1769437377.9657311,2,7,7,0,0
11,1769437401.8749332,2,4,4,0,0
12,1769437442.8848135,2,2,2,0,0
13,1769437467.034881,2,7,7,0,0
14,1769437483.874869,2,5,5,0,0
15,1769437531.4171813,2,8,8,0,0
16,1769437549.60486,2,5,5,0,0
17,1769437553.2148821,2,12,12,0,0
18,1769437555.7860467,2,4,4,0,0
19,1769437634.2748399,2,9,9,0,0
20,1769437645.6849465,2,3,3,0,0
21,1769437662.3748639,2,6,6,0,0
