crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769445108.7414403,2,0,0,0,0
1,1769445113.761405,2,0,0,0,0
2,1769445134.6214597,2,12,12,0,0
3,1769445171.3714502,2,12,12,0,0
4,1769445171.641389,2,13,13,0,0
5,1769445207.3215156,2,20,20,0,0
6,1769445220.2814984,2,21,21,0,0
7,1769445240.2215137,2,24,24,0,0
8,1769445250.271528,2,20,20,0,0
9,1769445305.3215,2,15,14,1,0
10,1769445313.9315083,2,19,19,0,0
11,1769445351.1314948,2,13,11,2,0
12,1769445372.5115478,2,23,23,0,0
13,1769445474.5214667,2,8,8,0,0
14,1769445487.5714943,2,16,16,0,0
15,1769445502.1314347,2,26,26,0,0
16,1769445561.5015395,2,19,19,0,0
17,1769445593.071521,2,26,26,0,0
18,1769445609.1415296,2,21,21,0,0
19,1769445616.291526,2,22,22,0,0
20,1769445640.7414777,2,13,10,3,0
21,1769445660.0914752,2,15,10,5,0
22,1769445676.1514807,2,18,18,0,0
23,1769445695.9315224,2,22,22,0,0
24,1769445704.0214944,2,13,13,0,0
25,1769445724.99146,2,8,3,5,0
26,1769445738.6614742,2,17,17,0,0
27,1769445745.7014935,2,16,16,0,0
28,1769445764.7914414,2,4,2,0,2
29,1769445785.9814796,2,14,14,0,0
30,1769445794.8315074,2,17,17,0,0
31,1769445799.8414836,2,13,12,1,0
32,1769445801.7714999,2,20,20,0,0
33,1769445837.63143,2,2,0,0,2
34,1769445867.9115007,2,19,19,0,0
35,1769445873.971525,2,21,21,0,0
36,1769445911.2714486,2,12,12,0,0
37,1769445928.3722832,2,21,21,0,0
38,1769446076.7715113,2,16,16,0,0
