crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769437188.03466,2,3,0,0,3
1,1769437191.4047725,2,11,0,11,0
2,1769437192.7146866,2,8,0,8,0
3,1769437194.6946115,2,3,2,0,1
4,1769437223.314535,2,3,0,0,3
5,1769437259.7847946,2,21,21,0,0
6,1769437266.804711,2,17,17,0,0
7,1769437268.1847534,2,22,22,0,0
8,1769437327.9246874,2,15,15,0,0
9,1769437337.6967075,2,27,27,0,0
10,1769437344.7848375,2,30,30,0,0
11,1769437362.864658,2,11,7,4,0
12,1769437383.8847928,2,22,22,0,0
13,1769437476.4147644,2,26,26,0,0
14,1769437479.4746718,2,21,21,0,0
15,1769437509.5946753,2,10,9,1,0
16,1769437513.254771,2,8,6,2,0
17,1769437529.2647743,2,23,23,0,0
18,1769437530.994728,2,20,20,0,0
19,1769437615.9346304,2,18,18,0,0
20,1769437624.6949599,2,26,26,0,0
21,1769437639.8948367,2,20,20,0,0
22,1769437642.0848277,2,18,18,0,0
23,1769437663.724799,2,15,15,0,0
24,1769437691.37477,2,21,21,0,0
25,1769437807.8847423,2,21,21,0,0
26,1769437848.5346944,2,16,16,0,0
27,1769437879.5633557,2,15,15,0,0
28,1769437888.1147335,2,20,20,0,0
29,1769437892.9246836,2,12,12,0,0
30,1769437904.624767,2,22,22,0,0
31,1769437928.4841535,2,12,12,0,0
32,1769437972.5385594,2,24,24,0,0
33,1769438045.1747522,2,22,22,0,0
34,1769438063.7661736,2,19,19,0,0
35,1769438087.223953,2,25,25,0,0
36,1769438099.7447636,2,25,25,0,0
37,1769438130.9647796,2,21,21,0,0
38,1769438146.7403018,2,16,16,0,0
