timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1770814368.712364;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1669.33;806.99;871.66;1076.33;793.33;388.00;0.00;0.00;0.00;0.00;470.00;1471.00;0.00;0.00;0.00;0.00;1294.67;892.33;807.00;534.67;684.67;160.00;1031.66;1819.33
1770814368.713152;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1669.33;806.99;871.66;1076.33;793.33;388.00;0.00;0.00;0.00;0.00;470.00;1471.00;0.00;0.00;0.00;0.00;1294.67;892.33;807.00;534.67;684.67;160.00;1031.66;1819.33
1770814391.6710665;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1749.33;886.99;1063.99;1108.66;1210.33;485.00;97.00;0.00;0.00;230.00;700.00;1701.00;0.00;230.00;0.00;0.00;1454.67;1267.00;807.00;854.67;684.67;160.00;1031.66;1969.33
1770814391.6719983;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1749.33;886.99;1063.99;1108.66;1210.33;485.00;97.00;0.00;0.00;230.00;700.00;1701.00;0.00;230.00;0.00;0.00;1454.67;1267.00;807.00;854.67;684.67;160.00;1031.66;1969.33
1770814391.6957204;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1909.33;1046.99;1223.99;1108.66;1210.33;485.00;97.00;97.00;97.00;557.00;1170.00;2171.00;0.00;460.00;0.00;0.00;1604.67;1267.00;807.00;854.67;684.67;497.00;1031.66;2119.33
1770814391.6965818;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1909.33;1046.99;1223.99;1108.66;1210.33;485.00;97.00;97.00;97.00;557.00;1170.00;2171.00;0.00;460.00;0.00;0.00;1604.67;1267.00;807.00;854.67;684.67;497.00;1031.66;2119.33
1770814391.7206247;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1909.33;1046.99;1223.99;1268.66;1370.33;645.00;257.00;129.33;129.33;669.33;1170.00;2171.00;0.00;540.00;0.00;224.67;1754.67;1267.00;807.00;1174.67;684.67;497.00;1031.66;2119.33
1770814391.721514;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1909.33;1046.99;1223.99;1268.66;1370.33;645.00;257.00;129.33;129.33;669.33;1170.00;2171.00;0.00;540.00;0.00;224.67;1754.67;1267.00;807.00;1174.67;684.67;497.00;1031.66;2119.33
1770814391.7486033;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1909.33;1046.99;1223.99;1578.66;1530.33;709.67;321.67;161.66;161.66;931.66;1320.00;2171.00;0.00;770.00;0.00;224.67;1754.67;1417.00;807.00;1399.34;684.67;497.00;1181.66;2119.33
1770814391.749525;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1909.33;1046.99;1223.99;1578.66;1530.33;709.67;321.67;161.66;161.66;931.66;1320.00;2171.00;0.00;770.00;0.00;224.67;1754.67;1417.00;807.00;1399.34;684.67;497.00;1181.66;2119.33
1770814406.696938;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;388.00;2054.00;1276.99;1303.99;1658.66;1610.33;709.67;321.67;161.66;161.66;931.66;1320.00;2268.00;0.00;770.00;0.00;224.67;1754.67;1417.00;1127.00;1549.34;834.67;497.00;1181.66;2231.66
1770814406.6980042;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;388.00;2054.00;1276.99;1303.99;1658.66;1610.33;709.67;321.67;161.66;161.66;931.66;1320.00;2268.00;0.00;770.00;0.00;224.67;1754.67;1417.00;1127.00;1549.34;834.67;497.00;1181.66;2231.66
