No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1763507393.8974612,0,1,0.0132,0.0462,0.0257,0.0249,1.3683,4.619,2.4947,0.0,0.0,0.0,4.93,1.46,3.47,None,0.00012803077697753906,169.064,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,6.335,9.165,16.5,0.0769,0.1817,0.04,0.1145,2082.4891657638136,10.0,2092.4891657638136
0,1763507393.898439,0.0,1,0.0132,0.0462,0.0257,0.0249,1.3683,4.619,2.4947,0.0,0.0,0.0,4.89,1.64,3.25,None,0.00012803077697753906,174.378,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,6.335,9.165,16.5,0.0769,0.1817,0.04,0.1145,2082.4891657638136,10.0,2092.4891657638136
0,1763507394.247664,0.4,2,0.0284,0.0865,0.0509,0.0499,2.9883,8.6508,4.9894,0.0,0.0,0.0,7.48,4.25,3.23,None,0.38162732124328613,165.416,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,6.9175,8.5825,16.5,0.1737,0.2705,0.0663,0.145,2126.267375019347,20.0,2146.267375019347
0,1763507394.2484572,0.4,2,0.0284,0.0865,0.0509,0.0499,2.9883,8.6508,4.9894,0.0,0.0,0.0,5.18,1.4,3.78,None,0.38162732124328613,165.534,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,6.9175,8.5825,16.5,0.1737,0.2705,0.0663,0.145,2126.267375019347,20.0,2146.267375019347
0,1763507394.5950298,0.7,3,0.0549,0.0949,0.0741,0.0748,5.9765,9.49,7.4841,0.0,0.0,0.0,7.22,3.44,3.78,None,0.7315201759338379,169.744,True,None,sfc_cache_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,9.223333333333334,6.276666666666666,16.5,0.2592,0.3234,0.0934,0.1526,2157.8555037919828,30.0,2187.8555037919828
0,1763507394.5955102,0.7,3,0.0549,0.0949,0.0741,0.0748,5.9765,9.49,7.4841,0.0,0.0,0.0,7.73,3.88,3.85,None,0.7315201759338379,159.675,True,None,sfc_unique_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,9.223333333333334,6.276666666666666,16.5,0.2592,0.3234,0.0934,0.1526,2157.8555037919828,30.0,2187.8555037919828
0,1763507394.8098211,0.9,4,0.0617,0.152,0.0966,0.0998,6.8761,15.2026,9.9788,0.0,0.0,0.0,6.48,3.07,3.41,None,1.0782108306884766,104.764,True,None,sfc_cache_p4_1,0,None,0,0,0,1,8,0,0,0,False,100.0,7.95875,7.54125,16.5,0.2807,0.4605,0.1257,0.165,2199.171139916422,40.0,2239.171139916422
0,1763507394.810294,0.9,4,0.0617,0.152,0.0966,0.0998,6.8761,15.2026,9.9788,0.0,0.0,0.0,4.2,1.12,3.09,None,1.0782108306884766,102.241,True,None,sfc_unique_p4_1,0,None,0,0,0,1,8,0,0,0,False,100.0,7.95875,7.54125,16.5,0.2807,0.4605,0.1257,0.165,2199.171139916422,40.0,2239.171139916422
0,1763507395.1394405,1.2,5,0.076,0.1781,0.1184,0.0998,8.6753,17.8082,9.9788,0.0,0.0,0.0,6.18,3.7,2.48,None,1.2929346561431885,146.719,True,None,sfc_cache_p5_1,0,None,4,0,33.0,4,10,0,0,0,False,100.0,8.033,7.067,13.2,0.282,0.481,0.1213,0.1741,2231.6617904859495,50.0,2281.6617904859495
0,1763507395.139912,1.2,5,0.076,0.1781,0.1184,0.0998,8.6753,17.8082,9.9788,0.0,0.0,0.0,11.39,6.92,4.47,None,1.2929346561431885,166.51,True,None,sfc_unique_p5_1,0,None,4,0,33.0,4,10,0,0,0,False,100.0,8.033,7.067,13.2,0.282,0.481,0.1213,0.1741,2231.6617904859495,50.0,2281.6617904859495
