crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1770815366.4545085,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1770815407.1345441,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
2,1770815490.5151637,2,1,0,1,0,50.9649,0.0000,2.17,0.0000
3,1770815495.9053385,2,4,0,4,0,49.0287,0.0000,9.52,0.0000
4,1770815503.3153658,2,3,0,3,0,49.7970,0.0000,8.82,0.0000
5,1770815519.1044922,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
6,1770815530.244454,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
7,1770815551.1244855,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
8,1770815558.1271632,2,19,0,19,0,48.4589,0.0000,86.36,0.0000
9,1770815600.7247832,2,1,0,1,0,49.6938,0.0000,2.17,0.0000
10,1770815603.2961404,2,11,0,11,0,48.4943,0.0000,36.67,0.0000
11,1770815660.8545246,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
12,1770815726.1449485,2,1,0,1,0,50.4923,0.0000,1.85,0.0000
13,1770815790.037496,2,18,0,18,0,47.9818,0.0000,69.23,0.0000
14,1770815929.625611,2,5,0,5,0,50.7560,0.0000,10.42,0.0000
15,1770816078.7456057,2,5,0,5,0,49.2539,0.0000,9.26,0.0000
16,1770816126.8854153,2,3,0,3,0,50.6308,0.0000,6.00,0.0000
17,1770816177.0953941,2,3,0,3,0,48.9926,0.0000,7.14,0.0000
18,1770816270.6953812,2,3,0,3,0,49.4941,0.0000,6.00,0.0000
19,1770816285.0958598,2,5,0,5,0,49.3803,0.0000,10.87,0.0000
20,1770816286.1278603,2,24,0,24,0,48.3919,0.0000,109.09,0.0000
21,1770816329.6671438,2,18,0,18,0,49.0347,0.0000,128.57,0.0000
