crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1770815394.3741004,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1770815395.8555036,2,9,0,0,9,15.3414,0.0000,75.00,0.0000
2,1770815426.6450276,2,7,0,0,7,14.4224,0.0000,21.88,0.0000
3,1770815461.8153145,2,5,0,0,5,15.9574,0.0000,16.67,0.0000
4,1770815530.2369404,2,18,0,0,18,15.8757,0.0000,81.82,0.0000
5,1770815552.9950125,2,6,0,0,6,16.9177,0.0000,13.04,0.0000
6,1770815646.0248647,2,4,0,0,4,16.7657,0.0000,8.33,0.0000
7,1770815688.0757334,2,12,0,0,12,15.3214,0.0000,35.29,0.0000
8,1770815710.8562067,2,11,0,0,11,16.0417,0.0000,28.95,0.0000
9,1770815733.895299,2,10,0,0,10,14.5216,0.0000,23.81,0.0000
10,1770815777.7152066,2,5,0,0,5,16.9735,0.0000,15.62,0.0000
11,1770815875.7851555,2,4,0,0,4,16.7312,0.0000,12.50,0.0000
12,1770815944.115207,2,4,0,0,4,16.8422,0.0000,10.00,0.0000
13,1770815978.0066538,2,14,0,0,14,15.8726,0.0000,35.00,0.0000
14,1770816041.5744922,2,1,0,0,1,14.4668,0.0000,1.61,0.0000
15,1770816088.7671587,2,20,0,0,20,14.4248,0.0000,125.00,0.0000
16,1770816148.6750066,2,4,0,0,4,17.1489,0.0000,11.76,0.0000
17,1770816190.145509,2,13,0,0,13,16.1338,0.0000,34.21,0.0000
18,1770816261.1260998,2,12,0,0,12,15.1929,0.0000,42.86,0.0000
19,1770816266.6746454,2,2,0,0,2,15.1687,0.0000,4.55,0.0000
20,1770816288.4747741,2,2,0,0,2,15.9119,0.0000,4.55,0.0000
21,1770816292.1552186,2,7,0,0,7,15.6173,0.0000,17.50,0.0000
