crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769449106.889681,2,0,0,0,0
1,1769449193.0096679,2,1,1,0,0
2,1769449200.5696723,2,1,1,0,0
3,1769449280.9296575,2,1,1,0,0
4,1769449282.9996555,2,2,2,0,0
5,1769449284.055174,2,1,1,0,0
6,1769449299.709669,2,1,1,0,0
7,1769449370.289665,2,2,2,0,0
8,1769449392.3196623,2,1,1,0,0
9,1769449409.449659,2,0,0,0,0
10,1769449415.6096473,2,0,0,0,0
11,1769449497.949661,2,2,2,0,0
12,1769449529.3515007,2,2,2,0,0
13,1769449556.7796552,2,2,2,0,0
14,1769449558.739711,2,1,1,0,0
15,1769449559.529655,2,1,1,0,0
16,1769449575.9796624,2,1,1,0,0
17,1769449578.5596666,2,0,0,0,0
18,1769449580.4196944,2,0,0,0,0
19,1769449601.2196457,2,0,0,0,0
20,1769449636.6496673,2,1,1,0,0
21,1769449653.1196802,2,2,2,0,0
22,1769449694.8096793,2,3,3,0,0
23,1769449715.5696611,2,0,0,0,0
24,1769449754.6696808,2,2,2,0,0
25,1769449759.1596715,2,2,2,0,0
26,1769449772.5896566,2,4,4,0,0
27,1769449774.449664,2,1,1,0,0
28,1769449776.289657,2,0,0,0,0
29,1769449824.4997163,2,1,1,0,0
30,1769449847.5296507,2,0,0,0,0
31,1769449935.659671,2,3,3,0,0
32,1769449942.8396547,2,0,0,0,0
33,1769449943.5196733,2,1,1,0,0
34,1769449956.26968,2,0,0,0,0
35,1769449976.7496495,2,0,0,0,0
36,1769449978.9196966,2,0,0,0,0
37,1769450007.559651,2,0,0,0,0
38,1769450027.219682,2,2,2,0,0
39,1769450032.60966,2,1,1,0,0
