crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769451239.225123,2,0,0,0,0
1,1769451259.3951347,2,7,1,5,1
2,1769451279.525103,2,6,3,2,1
3,1769451350.235129,2,10,10,0,0
4,1769451360.9351547,2,11,9,2,0
5,1769451374.3051264,2,6,5,1,0
6,1769451383.7151022,2,7,3,4,0
7,1769451500.4050934,2,5,2,3,0
8,1769451515.0251486,2,16,16,0,0
9,1769451564.525124,2,10,9,0,1
10,1769451576.375111,2,10,10,0,0
11,1769451585.5551257,2,11,10,1,0
12,1769451593.4251614,2,9,7,1,1
