crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769439218.3411238,2,5,2,1,2
1,1769439229.4310174,2,7,4,0,3
2,1769439306.5110705,2,11,9,2,0
3,1769439319.671021,2,13,12,1,0
4,1769439322.3910642,2,10,9,0,1
5,1769439325.6110244,2,9,9,0,0
6,1769439343.741077,2,13,11,2,0
7,1769439381.99103,2,6,3,0,3
8,1769439395.161184,2,15,14,1,0
9,1769439438.6710641,2,11,10,1,0
10,1769439449.8210754,2,11,11,0,0
11,1769439453.9611561,2,12,12,0,0
12,1769439472.430971,2,8,5,3,0
13,1769439474.0809503,2,5,5,0,0
14,1769439532.9611309,2,15,15,0,0
15,1769439550.4411807,2,7,6,1,0
16,1769439578.0250885,2,11,11,0,0
17,1769439581.6010575,2,9,8,1,0
18,1769439583.7110586,2,10,10,0,0
19,1769439628.2210577,2,5,4,1,0
20,1769439639.771127,2,11,10,1,0
21,1769439648.200981,2,9,9,0,0
22,1769439704.9910197,2,9,9,0,0
23,1769439765.580943,2,7,7,0,0
24,1769439810.9010344,2,5,5,0,0
25,1769439815.39119,2,12,12,0,0
26,1769439824.6710677,2,8,7,0,1
27,1769439837.6558173,2,2,2,0,0
28,1769439890.071076,2,13,13,0,0
29,1769439906.0510602,2,8,8,0,0
30,1769439919.8309863,2,10,10,0,0
31,1769439921.420976,2,10,10,0,0
32,1769439931.3211184,2,3,3,0,0
33,1769439933.5109708,2,6,6,0,0
34,1769439962.1310523,2,10,6,3,1
35,1769439971.0510538,2,9,8,1,0
36,1769439992.6112,2,11,9,1,1
37,1769440046.7610538,2,9,9,0,0
38,1769440108.04123,2,19,18,1,0
