crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769439194.597406,2,1,0,0,1
1,1769439279.457358,2,12,11,1,0
2,1769439294.1373756,2,10,8,2,0
3,1769439307.107312,2,5,4,1,0
4,1769439344.317378,2,9,7,2,0
5,1769439358.2973962,2,11,9,1,1
6,1769439383.0173948,2,11,10,1,0
7,1769439406.057393,2,9,7,0,2
8,1769439414.5073867,2,10,9,0,1
9,1769439415.737374,2,10,8,2,0
10,1769439473.08747,2,10,10,0,0
11,1769439477.4475005,2,10,9,1,0
12,1769439512.7573788,2,11,11,0,0
13,1769439518.7673917,2,10,10,0,0
14,1769439578.3873262,2,3,2,1,0
15,1769439582.907437,2,8,7,1,0
16,1769439586.3674128,2,16,16,0,0
17,1769439591.38381,2,16,14,2,0
18,1769439618.3073163,2,2,2,0,0
19,1769439623.257306,2,8,8,0,0
20,1769439651.619559,2,3,2,1,0
21,1769439699.4575124,2,9,8,1,0
22,1769439703.7675335,2,12,12,0,0
23,1769439711.8973606,2,16,16,0,0
24,1769439731.2973619,2,10,9,1,0
25,1769439758.8373284,2,6,5,1,0
26,1769439760.2974179,2,15,15,0,0
27,1769439813.9774606,2,10,9,1,0
28,1769439826.4775703,2,15,10,4,1
29,1769439866.057185,2,10,10,0,0
30,1769439876.177391,2,8,6,1,1
31,1769439982.2173796,2,6,6,0,0
32,1769439993.3875215,2,11,8,2,1
33,1769440023.3073258,2,4,4,0,0
34,1769440052.4473562,2,5,4,0,1
35,1769440085.99741,2,10,8,1,1
36,1769440094.0973957,2,11,11,0,0
37,1769440102.3173037,2,8,8,0,0
38,1769440106.1273384,2,1,1,0,0
