crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769439240.1457412,2,0,0,0,0
1,1769439248.0556333,2,1,0,0,1
2,1769439278.4957201,2,14,10,4,0
3,1769439295.525854,2,9,4,4,1
4,1769439323.945809,2,9,6,2,1
5,1769439345.7422786,2,14,13,1,0
6,1769439358.4856784,2,11,8,3,0
7,1769439406.5156353,2,13,11,1,1
8,1769439436.2156427,2,3,1,0,2
9,1769439459.3300712,2,10,9,1,0
10,1769439549.6956615,2,5,4,1,0
11,1769439552.9057474,2,5,3,2,0
12,1769439606.4657195,2,7,5,2,0
13,1769439625.2856402,2,13,13,0,0
14,1769439632.1156309,2,12,12,0,0
15,1769439639.215757,2,19,18,1,0
16,1769439649.1256444,2,7,7,0,0
17,1769439653.7755787,2,3,3,0,0
18,1769439716.9257073,2,12,9,3,0
19,1769439740.1856396,2,11,9,1,1
20,1769439740.6917517,2,13,12,0,1
21,1769439758.4158194,2,11,11,0,0
22,1769439767.4857507,2,9,7,2,0
23,1769439809.965727,2,9,8,0,1
24,1769439871.2457116,2,13,11,1,1
25,1769439876.6856868,2,9,8,0,1
26,1769439887.3357575,2,14,14,0,0
27,1769439907.4156442,2,1,1,0,0
28,1769439927.4856443,2,5,4,1,0
29,1769439934.0456357,2,12,11,0,1
30,1769439996.4356954,2,11,11,0,0
31,1769440013.675708,2,12,12,0,0
32,1769440021.6756716,2,7,6,0,1
33,1769440027.7556734,2,6,6,0,0
34,1769440112.9456358,2,3,2,1,0
35,1769440134.8157108,2,12,11,0,1
36,1769440142.465801,2,7,6,0,1
37,1769440142.9841287,2,9,9,0,0
38,1769440182.2656684,2,9,6,3,0
39,1769440202.0457277,2,12,11,1,0
