crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769439181.316582,2,7,3,1,3
1,1769439210.1865335,2,1,0,0,1
2,1769439218.9465537,2,4,0,0,4
3,1769439237.5165768,2,7,6,0,1
4,1769439266.9166281,2,6,3,2,1
5,1769439282.1666462,2,12,12,0,0
6,1769439288.4965951,2,12,11,1,0
7,1769439296.1466541,2,12,10,2,0
8,1769439311.736627,2,3,3,0,0
9,1769439328.806717,2,15,15,0,0
10,1769439334.4665966,2,10,9,1,0
11,1769439337.8865678,2,8,8,0,0
12,1769439338.7065487,2,6,3,2,1
13,1769439374.1377132,2,11,8,1,2
14,1769439374.5540597,2,7,6,1,0
15,1769439454.796529,2,13,13,0,0
16,1769439464.2165632,2,6,6,0,0
17,1769439466.7465515,2,5,5,0,0
18,1769439491.2965996,2,11,11,0,0
19,1769439526.0867243,2,6,4,0,2
20,1769439532.2066634,2,8,8,0,0
21,1769439542.7766116,2,10,8,0,2
22,1769439550.446794,2,9,6,3,0
