timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1770383178.8061228;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;698.00;848.00;922.67;1525.66;1030.33;538.00;150.00;150.00;0.00;940.00;0.00;160.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383178.8067818;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;698.00;848.00;922.67;1525.66;1030.33;538.00;150.00;150.00;0.00;940.00;0.00;160.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383189.7672794;0.00;0.00;97.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;698.00;848.00;922.67;1675.66;1030.33;538.00;150.00;150.00;0.00;1250.00;0.00;160.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383189.7679284;0.00;0.00;97.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;698.00;848.00;922.67;1675.66;1030.33;538.00;150.00;150.00;0.00;1250.00;0.00;160.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383189.7844198;0.00;0.00;194.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;698.00;1072.67;1259.67;1985.66;1340.33;538.00;150.00;150.00;0.00;1250.00;0.00;160.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383189.7850235;0.00;0.00;194.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;698.00;1072.67;1259.67;1985.66;1340.33;538.00;150.00;150.00;0.00;1250.00;0.00;160.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383189.8076568;0.00;0.00;291.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1018.00;1392.67;1682.00;1985.66;1340.33;538.00;150.00;150.00;0.00;1250.00;0.00;160.00;0.00;0.00;150.00;0.00;310.00;0.00;0.00;0.00;0.00
1770383189.808265;0.00;0.00;291.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1018.00;1392.67;1682.00;1985.66;1340.33;538.00;150.00;150.00;0.00;1250.00;0.00;160.00;0.00;0.00;150.00;0.00;310.00;0.00;0.00;0.00;0.00
1770383189.828507;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1248.00;1622.67;2136.67;2295.66;1650.33;858.00;150.00;150.00;0.00;1250.00;320.00;160.00;0.00;0.00;310.00;0.00;310.00;0.00;0.00;0.00;0.00
1770383189.8291583;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;1248.00;1622.67;2136.67;2295.66;1650.33;858.00;150.00;150.00;0.00;1250.00;320.00;160.00;0.00;0.00;310.00;0.00;310.00;0.00;0.00;0.00;0.00
1770383194.1309292;0.00;0.00;194.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;665.67;1002.67;1376.33;901.00;291.00;0.00;0.00;0.00;940.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.1316953;0.00;0.00;194.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;665.67;1002.67;1376.33;901.00;291.00;0.00;0.00;0.00;940.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.146682;0.00;0.00;194.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;762.67;1099.67;1836.33;1211.00;291.00;0.00;0.00;0.00;940.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.1472135;0.00;0.00;194.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;762.67;1099.67;1836.33;1211.00;291.00;0.00;0.00;0.00;940.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.1623316;0.00;0.00;291.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;977.34;1314.34;2066.33;1371.00;451.00;0.00;0.00;0.00;940.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.162871;0.00;0.00;291.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;977.34;1314.34;2066.33;1371.00;451.00;0.00;0.00;0.00;940.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.1779375;0.00;0.00;388.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;977.34;1314.34;2163.33;1723.33;601.00;0.00;0.00;0.00;940.00;150.00;310.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.1785333;0.00;0.00;388.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;977.34;1314.34;2163.33;1723.33;601.00;0.00;0.00;0.00;940.00;150.00;310.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.196217;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;977.34;1314.34;2623.33;1953.33;1008.00;0.00;0.00;0.00;1100.00;150.00;534.67;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383194.1968076;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;977.34;1314.34;2623.33;1953.33;1008.00;0.00;0.00;0.00;1100.00;150.00;534.67;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
