crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769956620.7189748,2,2,0,2,0,31.9820,0.0000,25.00,0.0000
1,1769956633.0592515,2,3,0,3,0,32.4490,0.0000,16.67,0.0000
2,1769956635.3687603,2,2,0,2,0,32.6334,0.0000,10.00,0.0000
3,1769956683.2786744,2,1,0,1,0,31.6089,0.0000,2.17,0.0000
4,1769956689.2487981,2,2,0,2,0,32.1808,0.0000,4.55,0.0000
5,1769956706.8998866,2,10,0,10,0,32.4677,0.0000,21.74,0.0000
6,1769956755.5191655,2,6,0,6,0,31.7920,0.0000,15.00,0.0000
7,1769956790.259713,2,9,0,9,0,31.8864,0.0000,18.00,0.0000
8,1769956823.4787922,2,2,0,2,0,32.0656,0.0000,4.35,0.0000
9,1769956852.0095716,2,6,0,6,0,32.0992,0.0000,16.67,0.0000
10,1769957061.3690379,2,2,0,2,0,32.5860,0.0000,3.23,0.0000
11,1769957124.9196138,2,7,0,7,0,32.2163,0.0000,17.50,0.0000
12,1769957198.2698724,2,17,0,17,0,32.0564,0.0000,42.50,0.0000
13,1769957280.8390784,2,2,0,2,0,31.5419,0.0000,3.70,0.0000
14,1769957348.0392783,2,8,0,8,0,31.7733,0.0000,28.57,0.0000
15,1769957353.8692982,2,9,0,9,0,32.0362,0.0000,22.50,0.0000
16,1769957358.2195475,2,11,0,11,0,31.9200,0.0000,32.35,0.0000
17,1769957449.6604733,2,11,0,11,0,32.3240,0.0000,25.00,0.0000
18,1769957478.8194764,2,9,0,9,0,31.7292,0.0000,28.12,0.0000
19,1769957529.4911149,2,17,0,17,0,31.9552,0.0000,38.64,0.0000
