crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769448081.2403357,2,0,0,0,0
1,1769448118.010405,2,14,14,0,0
2,1769448195.3618188,2,25,25,0,0
3,1769448207.7303917,2,13,13,0,0
4,1769448256.3803804,2,13,13,0,0
5,1769448257.4249613,2,13,13,0,0
6,1769448276.0922494,2,12,12,0,0
7,1769448277.2398086,2,10,10,0,0
8,1769448298.9603372,2,3,3,0,0
9,1769448311.1003685,2,9,9,0,0
10,1769448325.7504065,2,14,14,0,0
11,1769448337.960389,2,13,13,0,0
12,1769448358.1204307,2,15,15,0,0
13,1769448372.3604248,2,14,14,0,0
14,1769448474.1504278,2,15,15,0,0
15,1769448480.5704346,2,16,16,0,0
16,1769448497.8304012,2,14,14,0,0
17,1769448588.478568,2,20,20,0,0
18,1769448657.0803673,2,8,8,0,0
19,1769448662.4503844,2,11,11,0,0
20,1769448687.0304172,2,11,10,1,0
21,1769448693.8103685,2,15,15,0,0
22,1769448760.5504668,2,20,20,0,0
23,1769448779.440399,2,9,9,0,0
24,1769448794.130461,2,20,20,0,0
25,1769448829.4393675,2,13,13,0,0
26,1769448837.85048,2,23,23,0,0
27,1769448861.9304934,2,19,19,0,0
28,1769448874.5732117,2,18,18,0,0
29,1769448899.9865973,2,12,12,0,0
30,1769448922.6705234,2,24,24,0,0
31,1769448925.9252183,2,15,15,0,0
32,1769448958.3704362,2,18,18,0,0
33,1769448960.4403453,2,12,12,0,0
34,1769448979.5004258,2,16,16,0,0
35,1769448995.620427,2,16,16,0,0
36,1769449003.6304073,2,14,14,0,0
37,1769449004.752513,2,11,11,0,0
38,1769449013.320379,2,10,10,0,0
39,1769449030.603083,2,10,10,0,0
