crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769448216.011787,2,7,5,2,0
1,1769448280.6719205,2,18,18,0,0
2,1769448295.151872,2,17,17,0,0
3,1769448311.0418525,2,9,9,0,0
4,1769448337.0708008,2,22,22,0,0
5,1769448365.9417517,2,17,17,0,0
6,1769448420.621832,2,17,17,0,0
7,1769448473.1719022,2,16,16,0,0
8,1769448475.113308,2,18,18,0,0
9,1769448496.3841379,2,6,6,0,0
10,1769448508.4819195,2,20,20,0,0
11,1769448531.6718285,2,6,6,0,0
12,1769448568.981899,2,19,19,0,0
13,1769448583.8718772,2,18,18,0,0
14,1769448637.7419524,2,13,13,0,0
15,1769448709.4920251,2,12,12,0,0
16,1769448733.9218736,2,12,12,0,0
17,1769448751.0219169,2,18,18,0,0
18,1769448764.2719152,2,19,19,0,0
19,1769448770.6218545,2,9,9,0,0
20,1769448820.8118677,2,12,12,0,0
21,1769448837.9619145,2,21,21,0,0
22,1769448841.7000813,2,17,17,0,0
23,1769448874.981833,2,8,8,0,0
24,1769448916.9219475,2,22,22,0,0
25,1769448934.3918962,2,14,14,0,0
26,1769448937.0718637,2,11,11,0,0
27,1769448962.7919755,2,22,22,0,0
28,1769448972.5019102,2,21,21,0,0
29,1769448977.9918923,2,14,14,0,0
30,1769448984.172444,2,16,16,0,0
31,1769448995.4918392,2,7,7,0,0
32,1769449000.9351375,2,9,9,0,0
33,1769449018.5918033,2,1,1,0,0
34,1769449033.911857,2,12,12,0,0
35,1769449081.7519548,2,23,23,0,0
36,1769449109.431935,2,18,18,0,0
37,1769449137.231942,2,22,22,0,0
38,1769449139.3203185,2,17,17,0,0
39,1769449166.8018837,2,16,16,0,0
