crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769446142.5788355,2,0,0,0,0
1,1769446150.1088505,2,0,0,0,0
2,1769446185.8588629,2,7,7,0,0
3,1769446208.6488729,2,8,8,0,0
4,1769446285.0989037,2,13,13,0,0
5,1769446289.738926,2,16,16,0,0
6,1769446332.808894,2,10,10,0,0
7,1769446366.188887,2,9,9,0,0
8,1769446367.2738166,2,7,7,0,0
9,1769446395.6388662,2,6,6,0,0
10,1769446404.7088752,2,7,7,0,0
11,1769446408.22887,2,6,6,0,0
12,1769446439.298966,2,11,11,0,0
13,1769446453.4889116,2,7,7,0,0
14,1769446484.2388906,2,7,7,0,0
15,1769446515.3289976,2,14,14,0,0
16,1769446523.7289312,2,16,16,0,0
17,1769446568.0088732,2,6,6,0,0
18,1769446588.0188422,2,2,2,0,0
19,1769446590.8188798,2,9,9,0,0
20,1769446646.0889075,2,11,11,0,0
21,1769446706.488927,2,15,15,0,0
22,1769446820.0969615,2,9,9,0,0
23,1769446848.2289178,2,11,11,0,0
24,1769446935.5689049,2,6,6,0,0
25,1769446958.2590272,2,8,8,0,0
26,1769446961.0347285,2,11,11,0,0
27,1769446973.5989132,2,11,11,0,0
28,1769446978.4847202,2,2,2,0,0
29,1769446991.626367,2,4,4,0,0
30,1769446994.518916,2,13,13,0,0
31,1769446995.5579543,2,2,2,0,0
32,1769447004.0688193,2,0,0,0,0
33,1769447029.318846,2,3,3,0,0
34,1769447030.7588537,2,7,7,0,0
35,1769447037.748883,2,6,6,0,0
36,1769447072.428858,2,5,5,0,0
37,1769447108.408853,2,4,4,0,0
38,1769447115.7088962,2,9,9,0,0
