crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769448127.960676,2,0,0,0,0
1,1769448169.2732794,2,12,12,0,0
2,1769448332.600763,2,15,15,0,0
3,1769448353.6308317,2,26,26,0,0
4,1769448370.210772,2,16,16,0,0
5,1769448436.6507568,2,14,14,0,0
6,1769448437.7613664,2,13,13,0,0
7,1769448441.469487,2,21,21,0,0
8,1769448448.880762,2,14,14,0,0
9,1769448462.3006625,2,1,1,0,0
10,1769448466.4907315,2,2,2,0,0
11,1769448483.2107642,2,13,13,0,0
12,1769448516.4207718,2,18,18,0,0
13,1769448528.0707848,2,18,18,0,0
14,1769448586.8907943,2,21,21,0,0
15,1769448591.1608143,2,21,21,0,0
16,1769448597.6107564,2,15,15,0,0
17,1769448613.2507098,2,2,2,0,0
18,1769448660.0638106,2,15,15,0,0
19,1769448677.2260275,2,10,10,0,0
20,1769448680.0407844,2,18,18,0,0
21,1769448694.1308012,2,17,17,0,0
22,1769448703.780777,2,18,18,0,0
23,1769448726.5107796,2,16,16,0,0
24,1769448729.8907206,2,9,9,0,0
25,1769448731.3107705,2,14,14,0,0
26,1769448758.9307303,2,9,9,0,0
27,1769448775.3207862,2,12,12,0,0
28,1769448811.5707276,2,7,7,0,0
29,1769448819.4608064,2,23,23,0,0
30,1769448844.0407119,2,6,6,0,0
31,1769448922.2933824,2,17,17,0,0
32,1769448944.600788,2,21,21,0,0
33,1769448950.7307503,2,14,14,0,0
34,1769448957.6207914,2,21,21,0,0
35,1769449017.470754,2,11,11,0,0
36,1769449032.371288,2,16,16,0,0
37,1769449039.4607882,2,19,19,0,0
38,1769449044.4557378,2,7,7,0,0
39,1769449045.3821542,2,15,15,0,0
