crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769438205.7590117,2,0,0,0,0
1,1769438213.9889731,2,0,0,0,0
2,1769438219.4457567,2,3,3,0,0
3,1769438227.4590344,2,5,5,0,0
4,1769438247.3190525,2,8,8,0,0
5,1769438283.2291155,2,14,14,0,0
6,1769438295.109014,2,11,11,0,0
7,1769438299.259169,2,16,16,0,0
8,1769438318.8191917,2,13,13,0,0
9,1769438323.701284,2,13,13,0,0
10,1769438353.3890796,2,11,11,0,0
11,1769438397.2292688,2,27,27,0,0
12,1769438402.649231,2,24,24,0,0
13,1769438410.7793407,2,23,23,0,0
14,1769438452.2490757,2,16,16,0,0
15,1769438456.719065,2,17,17,0,0
16,1769438488.3491416,2,14,14,0,0
17,1769438492.1692705,2,27,27,0,0
18,1769438525.7790508,2,6,6,0,0
19,1769438526.884491,2,19,19,0,0
20,1769438565.2191236,2,9,9,0,0
21,1769438624.8490393,2,19,19,0,0
22,1769438628.3964515,2,15,15,0,0
23,1769438629.4860713,2,10,10,0,0
24,1769438675.7691054,2,15,15,0,0
25,1769438678.8566284,2,12,12,0,0
26,1769438680.0388644,2,20,20,0,0
27,1769438681.248923,2,10,10,0,0
28,1769438851.5091887,2,21,21,0,0
29,1769438907.889357,2,22,22,0,0
30,1769438919.417698,2,18,18,0,0
31,1769438943.219215,2,20,20,0,0
32,1769438958.3691988,2,20,20,0,0
33,1769438982.6054013,2,25,25,0,0
34,1769438988.5590453,2,15,15,0,0
35,1769439024.6990833,2,11,11,0,0
36,1769439029.806314,2,10,10,0,0
37,1769439041.2191672,2,18,18,0,0
38,1769439055.9891465,2,10,10,0,0
