No.,time,timestamp,number_of_sfc,cpu_utilization,bandwidth_utilization,cache_utilization,latency,duration,success,arrival_time,depart_time,sfc_id
1,None,1695136835.0761976,4,0.006388888888888888,0.0009238095238095237,0.020833333333333332,1,0.10850667953491211,1,1695136834.9666908,1695136835.0761976,sfc_cache_p1_1
2,None,1695136835.2142448,4,0.019166666666666665,0.0027714285714285714,0.020833333333333332,1,0.10860705375671387,1,1695136834.9666908,1695136835.2142448,sfc_unique_p1_1
3,None,1695136835.3572805,4,0.025555555555555554,0.0036952380952380947,0.041666666666666664,1,0.11252927780151367,1,1695136834.9666908,1695136835.3572805,sfc_cache_p2_1
4,None,1695136835.5068038,4,0.03833333333333333,0.005542857142857143,0.041666666666666664,1,0.11452174186706543,1,1695136834.9666908,1695136835.5068038,sfc_unique_p2_1
5,None,1695136835.6981518,4,0.044722222222222226,0.006466666666666666,0.0625,1,0.15333318710327148,1,1695136834.9666908,1695136835.6981518,sfc_cache_p3_1
6,None,1695136835.8756895,4,0.0575,0.008314285714285715,0.0625,1,0.13252043724060059,1,1695136834.9666908,1695136835.8756895,sfc_unique_p3_1
7,None,1695136836.0622098,4,0.06388888888888888,0.009238095238095238,0.08333333333333333,1,0.15051937103271484,1,1695136834.9666908,1695136836.0622098,sfc_cache_p4_1
8,None,1695136836.2669876,4,0.07666666666666666,0.011085714285714286,0.08333333333333333,1,0.15327000617980957,1,1695136834.9666908,1695136836.2669876,sfc_unique_p4_1
9,None,1695136856.0784817,4,0.08305555555555555,0.01658095238095238,0.10416666666666667,3,0.10852456092834473,1,1695136855.969957,1695136856.0784817,sfc_cache_p1_2
10,None,1695136856.2240508,4,0.09583333333333334,0.027571428571428573,0.10416666666666667,3,0.10956835746765137,1,1695136855.969957,1695136856.2240508,sfc_unique_p1_2
11,None,1695136856.3760264,4,0.10222222222222221,0.028495238095238098,0.125,3,0.11501407623291016,1,1695136855.969957,1695136856.3760264,sfc_cache_p2_2
12,None,1695136856.5284283,4,0.115,0.039485714285714284,0.125,3,0.11302590370178223,1,1695136855.969957,1695136856.5284283,sfc_unique_p2_2
13,None,1695136856.7279732,4,0.12138888888888888,0.04040952380952381,0.14583333333333334,3,0.14853310585021973,1,1695136855.969957,1695136856.7279732,sfc_cache_p3_2
14,None,1695136856.9546428,4,0.13416666666666666,0.05140000000000001,0.14583333333333334,3,0.16453933715820312,1,1695136855.969957,1695136856.9546428,sfc_unique_p3_2
15,None,1695136857.18344,4,0.14055555555555554,0.05232380952380953,0.16666666666666666,3,0.1627945899963379,1,1695136855.969957,1695136857.18344,sfc_cache_p4_2
16,None,1695136857.408493,4,0.15333333333333332,0.06331428571428571,0.16666666666666666,3,0.1630403995513916,1,1695136855.969957,1695136857.408493,sfc_unique_p4_2
17,None,1695136871.098556,4,0.1597222222222222,0.07566666666666667,0.1875,6,0.10802698135375977,1,1695136870.989529,1695136871.098556,sfc_cache_p1_3
18,None,1695136871.253584,4,0.1725,0.09122857142857142,0.1875,4,0.10901117324829102,1,1695136870.989529,1695136871.253584,sfc_unique_p1_3
19,None,1695136871.4025967,4,0.17888888888888888,0.09215238095238096,0.20833333333333334,2,0.10001301765441895,1,1695136870.989529,1695136871.4025967,sfc_cache_p2_3
20,None,1695136871.5781302,4,0.19166666666666668,0.09857142857142857,0.20833333333333334,2,0.12302708625793457,1,1695136870.989529,1695136871.5781302,sfc_unique_p2_3
21,None,1695136871.8031797,4,0.19805555555555557,0.0994952380952381,0.22916666666666666,2,0.1520366668701172,1,1695136870.989529,1695136871.8031797,sfc_cache_p3_3
22,None,1695136872.0257494,4,0.21083333333333334,0.10591428571428572,0.22916666666666666,2,0.1525402069091797,1,1695136870.989529,1695136872.0257494,sfc_unique_p3_3
23,None,1695136872.2726004,4,0.21722222222222223,0.10683809523809525,0.25,2,0.15383195877075195,1,1695136870.989529,1695136872.2726004,sfc_cache_p4_3
24,None,1695136872.5091214,4,0.23,0.11325714285714286,0.25,2,0.14701461791992188,1,1695136870.989529,1695136872.5091214,sfc_unique_p4_3
25,None,1695136873.5093248,4,0.21083333333333334,0.10591428571428572,0.22916666666666666,None,0.1365222930908203,0,1695136873.362802,1695136873.5093248,sfc_cache_p3_3
26,None,1695136873.6853373,4,0.22361111111111115,0.11233333333333334,0.22916666666666666,2,0.10950708389282227,1,1695136873.4198177,1695136873.6853373,sfc_unique_p3_3
27,None,1695136886.5855038,4,0.22361111111111115,0.11233333333333334,0.22916666666666666,2,0.10150671005249023,1,1695136886.4739978,1695136886.5855038,sfc_unique_p3_3
28,None,1695136890.1178317,4,0.23,0.11325714285714288,0.25,1,0.0995333194732666,1,1695136890.0182984,1695136890.1178317,sfc_cache_p1_4
29,None,1695136890.2758744,4,0.24277777777777781,0.11510476190476192,0.25,1,0.10052061080932617,1,1695136890.0182984,1695136890.2758744,sfc_unique_p1_4
30,None,1695136890.4419303,4,0.24916666666666668,0.11602857142857144,0.2708333333333333,1,0.10553789138793945,1,1695136890.0182984,1695136890.4419303,sfc_cache_p2_4
31,None,1695136890.605243,4,0.2619444444444445,0.11787619047619048,0.2708333333333333,1,0.1045069694519043,1,1695136890.0182984,1695136890.605243,sfc_unique_p2_4
32,None,1695136890.797766,4,0.2683333333333333,0.1188,0.2916666666666667,1,0.11901521682739258,1,1695136890.0182984,1695136890.797766,sfc_cache_p3_4
33,None,1695136891.0244248,4,0.28111111111111114,0.12064761904761906,0.2916666666666667,1,0.14914917945861816,1,1695136890.0182984,1695136891.0244248,sfc_unique_p3_4
34,None,1695136891.290512,4,0.2875,0.12157142857142857,0.3125,1,0.1670529842376709,1,1695136890.0182984,1695136891.290512,sfc_cache_p4_4
35,None,1695136891.5545893,4,0.3002777777777778,0.12341904761904762,0.3125,1,0.16303658485412598,1,1695136890.0182984,1695136891.5545893,sfc_unique_p4_4
36,None,1695136893.712969,4,0.28111111111111114,0.11150476190476191,0.2916666666666667,None,0.11755800247192383,0,1695136893.581411,1695136893.712969,sfc_cache_p1_2
37,None,1695136893.9113827,4,0.2938888888888889,0.11792380952380954,0.2916666666666667,2,0.1108236312866211,1,1695136893.6409569,1695136893.9113827,sfc_unique_p1_2
38,None,1695136904.8378477,4,0.27472222222222226,0.10600952380952382,0.2708333333333333,None,0.11868524551391602,0,1695136904.7041225,1695136904.8378477,sfc_cache_p2_2
39,None,1695136905.0221174,4,0.2875,0.11242857142857143,0.2708333333333333,2,0.11103606224060059,1,1695136904.7565134,1695136905.0221174,sfc_unique_p2_2
40,None,1695136907.1271677,4,0.2938888888888889,0.11335238095238095,0.2916666666666667,1,0.0980377197265625,1,1695136907.02913,1695136907.1271677,sfc_cache_p1_5
41,None,1695136907.2899487,4,0.30666666666666664,0.1152,0.2916666666666667,1,0.0984346866607666,1,1695136907.02913,1695136907.2899487,sfc_unique_p1_5
42,None,1695136907.4546125,4,0.31305555555555553,0.11612380952380953,0.3125,1,0.09850597381591797,1,1695136907.02913,1695136907.4546125,sfc_cache_p2_5
43,None,1695136907.6546526,4,0.3258333333333333,0.11797142857142857,0.3125,1,0.1255197525024414,1,1695136907.02913,1695136907.6546526,sfc_unique_p2_5
44,None,1695136907.8701906,4,0.3322222222222222,0.12346666666666668,0.3333333333333333,3,0.136030912399292,1,1695136907.02913,1695136907.8701906,sfc_cache_p3_5
45,None,1695136908.1099992,4,0.345,0.12716190476190478,0.3333333333333333,2,0.14128971099853516,1,1695136907.02913,1695136908.1099992,sfc_unique_p3_5
46,None,1695136908.3647382,4,0.3513888888888889,0.12900952380952382,0.3541666666666667,2,0.14321303367614746,1,1695136907.02913,1695136908.3647382,sfc_cache_p4_5
47,None,1695136908.6102605,4,0.3513888888888889,0.12900952380952382,0.3541666666666667,None,0.13150668144226074,0,1695136907.02913,1695136908.6102605,sfc_unique_p4_5
48,None,1695136922.9997268,4,0.33222222222222225,0.11709523809523811,0.3333333333333333,None,0.11201620101928711,0,1695136922.8717525,1695136922.9997268,sfc_cache_p4_2
49,None,1695136923.1848125,4,0.34500000000000003,0.12351428571428572,0.3333333333333333,2,0.09901881217956543,1,1695136922.931727,1695136923.1848125,sfc_unique_p4_2
50,None,1695136923.35588,4,0.3513888888888889,0.1335809523809524,0.3541666666666667,5,0.10004281997680664,1,1695136923.0623236,1695136923.35588,sfc_cache_p1_6
51,None,1695136923.5319169,4,0.3641666666666667,0.14857142857142858,0.3541666666666667,4,0.09901618957519531,1,1695136923.0623236,1695136923.5319169,sfc_unique_p1_6
52,None,1695136923.7540135,4,0.3705555555555556,0.14949523809523813,0.375,5,0.13157200813293457,1,1695136923.0623236,1695136923.7540135,sfc_cache_p2_6
53,None,1695136924.0045524,4,0.3641666666666667,0.21217142857142854,0.3541666666666667,4,0.13901424407958984,1,1695136923.0623236,1695136924.0045524,sfc_unique_p2_6
54,None,1695136924.4228973,4,0.3577777777777778,0.1430761904761905,0.3333333333333333,2,0.16352128982543945,1,1695136924.2368703,1695136924.4228973,sfc_unique_p3_2
55,None,1695136924.7639172,4,0.3577777777777778,0.1430761904761905,0.3333333333333333,None,0.18597936630249023,0,1695136924.1853597,1695136924.7639172,sfc_cache_p3_2
56,None,1695136925.0979474,4,0.37055555555555564,0.14492380952380954,0.3333333333333333,1,0.16450715065002441,1,1695136924.1378522,1695136925.0979474,sfc_unique_p4_1
57,None,1695136925.4320705,4,0.37055555555555564,0.14492380952380954,0.3333333333333333,None,0.17650055885314941,0,1695136924.0620604,1695136925.4320705,sfc_cache_p4_1
58,None,1695136925.7371142,4,0.37694444444444447,0.14584761904761903,0.3541666666666667,4,0.16099977493286133,1,1695136923.0623236,1695136925.7371142,sfc_cache_p3_6
59,None,1695136926.0396624,4,0.37055555555555564,0.14949523809523813,0.3333333333333333,4,0.1615314483642578,1,1695136923.0623236,1695136926.0396624,sfc_unique_p3_6
60,None,1695136926.428252,4,0.38333333333333336,0.15134285714285714,0.3333333333333333,1,0.1715226173400879,1,1695136926.0931711,1695136926.428252,sfc_unique_p2_1
61,None,1695136926.7748032,4,0.38333333333333336,0.15134285714285714,0.3333333333333333,None,0.17803168296813965,0,1695136926.0636618,1695136926.7748032,sfc_cache_p2_1
62,None,1695136927.0928495,4,0.3897222222222223,0.1522666666666667,0.3541666666666667,4,0.16903209686279297,1,1695136923.0623236,1695136927.0928495,sfc_cache_p4_6
63,None,1695136927.3754961,4,0.4025,0.1586857142857143,0.3541666666666667,4,0.15104103088378906,1,1695136923.0623236,1695136927.3754961,sfc_unique_p4_6
64,None,1695136944.1802022,4,0.3705555555555555,0.15406666666666669,0.3333333333333333,1,0.09350991249084473,1,1695136944.085692,1695136944.1802022,sfc_cache_p1_7
65,None,1695136944.358288,4,0.38333333333333336,0.2112952380952381,0.3333333333333333,1,0.0945594310760498,1,1695136944.085692,1695136944.358288,sfc_unique_p1_7
66,None,1695136944.5518835,4,0.37694444444444436,0.1549904761904762,0.3541666666666667,1,0.09507322311401367,1,1695136944.085692,1695136944.5518835,sfc_cache_p2_7
