crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1770747002.6067054,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1770747008.8572378,2,1,0,1,0,6.1400,0.0000,7.14,0.0000
2,1770747027.197826,2,15,0,15,0,5.9523,6.9869,187.50,0.8650
3,1770747116.6296723,2,26,0,26,0,6.2168,6.5067,86.67,0.4632
4,1770747138.9608254,2,8,0,8,0,6.7963,7.4096,21.05,0.4483
5,1770747150.9208543,2,7,0,7,0,6.7252,6.7698,21.88,0.3289
6,1770747215.237661,2,5,0,5,0,6.1235,0.0000,12.50,0.0000
7,1770747215.988064,2,9,0,9,0,6.8883,7.8509,22.50,0.4142
8,1770747243.5278935,2,6,0,6,0,7.3944,0.0000,16.67,0.0000
9,1770747337.7380848,2,5,0,5,0,7.2984,0.0000,12.50,0.0000
10,1770747428.35709,2,1,0,1,0,7.3656,8.0262,2.08,0.6606
11,1770747514.4805884,2,28,0,28,0,5.8323,6.4248,175.00,0.0000
12,1770747525.5182834,2,6,0,6,0,6.6288,6.2529,33.33,-0.0413
13,1770747537.4774332,2,2,0,2,0,6.2290,0.0000,14.29,0.0000
14,1770747627.2763603,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
15,1770747630.497862,2,7,0,7,0,5.5731,7.3148,21.88,1.7597
16,1770747678.9481752,2,9,0,9,0,6.1431,7.4127,23.68,1.3057
17,1770747686.5475118,2,3,0,3,0,7.5850,0.0000,8.82,0.0000
18,1770747776.8875782,2,5,0,5,0,7.1644,0.0000,13.16,0.0000
19,1770747825.2873166,2,4,0,4,0,6.8602,0.0000,7.69,0.0000
20,1770747915.067466,2,4,0,4,0,7.1350,0.0000,12.50,0.0000
21,1770747929.60881,2,12,0,12,0,5.6850,0.0000,54.55,0.0000
