crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769389261.6631286,2,1,1,0,0
1,1769389271.0232413,2,2,2,0,0
2,1769389273.202952,2,1,0,1,0
3,1769389277.2374184,2,0,0,0,0
4,1769389311.8829224,2,3,2,1,0
5,1769389337.5460672,2,0,0,0,0
6,1769389379.0930471,2,4,4,0,0
7,1769389413.2146342,2,7,7,0,0
8,1769389415.9628458,2,1,1,0,0
9,1769389463.723519,2,1,1,0,0
10,1769389491.2132733,2,0,0,0,0
11,1769389550.6927946,2,11,9,2,0
12,1769389576.1127279,2,3,3,0,0
13,1769389583.4031775,2,1,1,0,0
14,1769389600.6225035,2,1,1,0,0
15,1769389615.572683,2,7,6,1,0
16,1769389644.8532193,2,0,0,0,0
17,1769389646.3826344,2,6,6,0,0
18,1769389655.1531541,2,14,12,2,0
19,1769389656.7785935,2,6,6,0,0
20,1769389679.9230149,2,13,13,0,0
21,1769389681.2039437,2,3,3,0,0
22,1769389692.2333207,2,2,2,0,0
23,1769389702.8832085,2,0,0,0,0
24,1769389744.3641038,2,4,4,0,0
25,1769389755.9428988,2,9,9,0,0
26,1769389765.4030535,2,11,10,1,0
27,1769389839.3729618,2,4,4,0,0
28,1769389893.7239268,2,11,11,0,0
29,1769389896.2832556,2,0,0,0,0
30,1769389939.093121,2,9,6,2,1
31,1769390041.4532063,2,1,1,0,0
32,1769390042.1935894,2,2,2,0,0
33,1769390045.7633355,2,12,12,0,0
34,1769390050.6361098,2,1,1,0,0
35,1769390051.472975,2,2,2,0,0
36,1769390082.583456,2,0,0,0,0
37,1769390092.4733348,2,9,9,0,0
38,1769390094.294359,2,2,2,0,0
39,1769390106.1326537,2,9,7,1,1
40,1769390128.3067508,2,2,2,0,0
41,1769390131.1544943,2,12,11,1,0
42,1769390154.1430526,2,1,1,0,0
43,1769390158.793495,2,2,2,0,0
44,1769390168.2130485,2,2,2,0,0
45,1769390178.2235267,2,4,4,0,0
46,1769390195.3351908,2,0,0,0,0
47,1769390197.4026332,2,1,1,0,0
48,1769390203.2835097,2,9,7,1,1
49,1769390210.8210614,2,0,0,0,0
