crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769383131.3154082,2,4,4,0,0
1,1769383176.2854617,2,1,1,0,0
2,1769383182.3757186,2,7,3,2,2
3,1769383202.6354048,2,1,1,0,0
4,1769383232.8859253,2,2,2,0,0
5,1769383258.5357065,2,2,2,0,0
6,1769383266.8149493,2,2,2,0,0
7,1769383279.1755185,2,9,6,1,2
8,1769383295.5355246,2,2,2,0,0
9,1769383311.3234859,2,2,1,1,0
10,1769383314.264996,2,6,5,0,1
11,1769383319.3249602,2,3,1,0,2
12,1769383328.675239,2,0,0,0,0
13,1769383328.8655849,2,0,0,0,0
14,1769383370.485886,2,0,0,0,0
15,1769383381.9954605,2,0,0,0,0
16,1769383408.4051049,2,3,3,0,0
17,1769383444.6954777,2,1,1,0,0
18,1769383469.445049,2,1,1,0,0
19,1769383487.6056225,2,11,10,1,0
20,1769383494.9756985,2,2,2,0,0
21,1769383498.7751732,2,0,0,0,0
22,1769383505.4050286,2,1,1,0,0
23,1769383528.1650777,2,0,0,0,0
24,1769383556.2757876,2,2,2,0,0
25,1769383573.9700336,2,8,5,2,1
26,1769383582.275793,2,2,2,0,0
27,1769383606.6452577,2,2,2,0,0
28,1769383652.2754316,2,1,1,0,0
29,1769383687.8254,2,1,1,0,0
30,1769383692.1257362,2,1,1,0,0
31,1769383692.517111,2,1,1,0,0
32,1769383717.3752954,2,0,0,0,0
33,1769383728.5853732,2,4,4,0,0
34,1769383735.9354675,2,21,20,0,1
35,1769383742.2455575,2,4,3,0,1
36,1769383743.235155,2,3,3,0,0
37,1769383744.1358948,2,4,4,0,0
38,1769383774.365588,2,2,2,0,0
39,1769383798.175488,2,1,1,0,0
40,1769383800.6051908,2,2,2,0,0
41,1769383808.3657167,2,7,3,3,1
42,1769383825.9751377,2,2,2,0,0
43,1769383827.324805,2,1,1,0,0
44,1769383874.0353963,2,2,2,0,0
45,1769383880.9758415,2,1,1,0,0
46,1769383887.6651678,2,4,2,1,1
47,1769384000.4342854,2,1,1,0,0
48,1769384002.0850096,2,1,1,0,0
49,1769384025.7258716,2,1,1,0,0
