Vehicle ID,Coordenada X,Coordenada Y,Velocidade,Server Start,Server End
vehicle_21,5527,7538,45,7,15
vehicle_22,7019,8415,39,13,2
vehicle_31,5359,7708,47,7,6
vehicle_32,6911,8485,48,13,27
vehicle_41,5519,7672,53,7,3
vehicle_42,7017,8487,18,13,18
vehicle_11,5206,7567,58,7,2
vehicle_12,7025,8351,47,13,15
vehicle_21,5524,7525,46,7,15
vehicle_22,7020,8404,39,13,2
vehicle_31,5346,7708,47,7,6
vehicle_32,6897,8485,52,13,27
vehicle_41,5532,7673,46,7,3
vehicle_42,7011,8489,22,13,18
vehicle_11,5224,7562,65,7,2
vehicle_12,7027,8337,51,13,15
vehicle_21,5522,7514,42,7,15
vehicle_22,7021,8393,39,13,2
vehicle_31,5334,7701,49,7,6
vehicle_32,6883,8484,51,13,27
vehicle_41,5541,7673,33,7,3
vehicle_42,7003,8489,29,13,18
vehicle_11,5243,7557,72,7,2
vehicle_12,7028,8323,50,13,15
vehicle_13,9781,9249,0,27,22
vehicle_21,5521,7507,26,7,15
vehicle_22,7022,8383,38,13,2
vehicle_31,5323,7694,47,7,6
vehicle_32,6869,8483,50,13,27
vehicle_41,5546,7672,21,7,3
vehicle_42,6993,8489,37,13,18
vehicle_11,5264,7551,78,7,2
vehicle_12,7029,8310,47,13,15
vehicle_13,9782,9251,7,27,22
vehicle_21,5519,7498,33,7,15
vehicle_22,7023,8372,40,13,2
vehicle_31,5312,7690,49,7,6
vehicle_32,6854,8482,52,13,27
vehicle_33,10104,9286,0,27,6
vehicle_41,5546,7666,22,7,3
vehicle_42,6980,8488,44,13,18
vehicle_11,5287,7545,86,7,2
vehicle_12,7031,8296,50,13,15
vehicle_13,9779,9251,11,27,22
vehicle_21,5519,7489,34,7,15
vehicle_22,7024,8360,41,13,2
vehicle_31,5298,7692,50,7,6
vehicle_32,6841,8482,49,13,27
vehicle_33,10103,9285,5,27,6
vehicle_41,5545,7658,28,7,3
vehicle_42,6969,8488,40,13,18
vehicle_11,5312,7539,95,7,2
vehicle_12,7032,8283,48,13,15
vehicle_13,9776,9248,16,27,22
vehicle_21,5525,7483,31,7,15
vehicle_22,7025,8349,41,13,2
vehicle_31,5285,7694,47,7,6
vehicle_32,6827,8480,50,13,27
vehicle_33,10100,9283,14,27,6
vehicle_41,5544,7649,35,7,3
vehicle_42,6957,8487,43,13,18
vehicle_11,5337,7532,92,7,2
vehicle_12,7033,8270,47,13,15
vehicle_13,9771,9246,22,27,22
vehicle_21,5535,7480,39,7,15
vehicle_22,7026,8339,37,13,2
vehicle_23,9781,9249,0,27,14
vehicle_31,5272,7697,46,7,6
vehicle_32,6813,8479,50,13,27
vehicle_33,10096,9278,22,27,6
vehicle_41,5542,7637,43,7,3
vehicle_42,6946,8487,40,13,18
vehicle_11,5363,7525,95,7,2
vehicle_12,7034,8256,50,13,15
vehicle_13,9766,9249,20,27,22
vehicle_21,5547,7477,45,7,15
vehicle_22,7028,8328,39,13,2
vehicle_23,9782,9250,5,27,14
vehicle_31,5259,7695,50,7,6
vehicle_32,6799,8478,52,13,27
vehicle_33,10089,9273,30,27,6
vehicle_41,5540,7622,52,7,3
vehicle_42,6934,8486,42,13,18
vehicle_11,5388,7519,94,7,2
vehicle_12,7036,8242,51,13,15
vehicle_13,9761,9254,29,27,22
vehicle_21,5562,7473,53,7,15
vehicle_22,7029,8318,37,13,2
vehicle_23,9780,9251,9,27,14
vehicle_31,5247,7690,50,7,6
vehicle_32,6786,8477,48,13,27
vehicle_33,10082,9266,35,27,6
vehicle_41,5537,7609,50,7,3
vehicle_42,6923,8486,40,13,18
vehicle_11,5412,7512,91,7,2
vehicle_12,7037,8228,50,13,15
vehicle_13,9753,9261,37,27,22
vehicle_21,5578,7469,61,7,15
vehicle_22,7030,8307,37,13,2
vehicle_23,9778,9250,11,27,14
vehicle_31,5234,7693,49,7,6
vehicle_32,6771,8476,52,13,27
vehicle_33,10073,9258,44,27,6
vehicle_41,5535,7594,54,7,3
vehicle_42,6912,8485,40,13,18
vehicle_11,5437,7506,93,7,2
vehicle_12,7038,8215,49,13,15
vehicle_13,9745,9269,41,27,22
vehicle_21,5595,7465,62,7,15
vehicle_22,7031,8297,38,13,2
vehicle_23,9774,9246,19,27,14
vehicle_31,5221,7696,49,7,6
vehicle_32,6757,8476,52,13,27
vehicle_33,10063,9249,50,27,6
vehicle_41,5533,7579,53,7,3
vehicle_42,6901,8485,40,13,18
vehicle_43,9781,9249,0,27,23
vehicle_11,5463,7499,94,7,2
vehicle_12,7039,8201,49,13,15
vehicle_13,9736,9278,43,27,22
vehicle_21,5608,7461,49,7,15
vehicle_22,7032,8286,38,13,2
vehicle_23,9769,9247,20,27,14
vehicle_31,5208,7700,48,7,6
vehicle_32,6744,8476,48,13,27
vehicle_33,10052,9239,52,27,6
vehicle_41,5531,7565,54,7,3
vehicle_42,6889,8484,42,13,18
vehicle_43,9782,9251,9,27,23
vehicle_11,5488,7492,95,7,2
vehicle_12,7041,8188,48,13,15
vehicle_13,9728,9286,42,27,22
vehicle_21,5617,7459,33,7,15
vehicle_22,7033,8275,39,13,2
vehicle_23,9765,9250,16,27,14
vehicle_31,5195,7703,47,7,6
vehicle_32,6735,8476,33,13,27
vehicle_33,10042,9229,51,27,6
vehicle_41,5529,7550,52,7,3
vehicle_42,6877,8484,44,13,18
vehicle_43,9779,9251,12,27,23
vehicle_11,5513,7486,94,7,2
vehicle_12,7042,8174,50,13,15
vehicle_13,9719,9295,45,27,22
vehicle_21,5621,7455,17,7,15
vehicle_22,7034,8264,41,13,2
vehicle_23,9761,9254,24,27,14
vehicle_31,5183,7705,42,7,6
vehicle_32,6729,8475,19,13,27
vehicle_33,10031,9219,54,27,6
vehicle_41,5527,7536,51,7,3
vehicle_42,6866,8483,40,13,18
vehicle_43,9775,9247,18,27,23
vehicle_11,5539,7479,94,7,2
vehicle_12,7043,8160,50,13,15
vehicle_13,9710,9304,44,27,22
vehicle_21,5621,7455,1,7,15
vehicle_22,7035,8254,37,13,2
vehicle_23,9755,9260,30,27,14
vehicle_31,5176,7707,26,7,6
vehicle_32,6721,8474,28,13,27
vehicle_33,10020,9209,53,27,6
vehicle_41,5524,7523,50,7,3
vehicle_42,6855,8483,41,13,18
vehicle_43,9769,9246,24,27,23
vehicle_11,5563,7473,91,7,2
vehicle_12,7044,8146,50,13,15
vehicle_13,9703,9312,39,27,22
vehicle_21,5621,7455,0,7,15
vehicle_22,7036,8243,39,13,2
vehicle_23,9748,9267,35,27,14
vehicle_31,5170,7708,23,7,6
vehicle_32,6716,8468,31,13,27
vehicle_33,10009,9200,51,27,6
vehicle_41,5522,7512,38,7,3
vehicle_42,6843,8482,41,13,18
vehicle_43,9765,9250,20,27,23
vehicle_11,5583,7468,75,7,2
vehicle_12,7045,8133,47,13,15
vehicle_13,9699,9317,23,27,22
vehicle_21,5621,7455,0,7,15
vehicle_22,7037,8232,39,13,2
vehicle_23,9740,9274,39,27,14
vehicle_31,5164,7706,27,7,6
vehicle_32,6717,8460,32,13,27
vehicle_33,9997,9190,53,27,6
vehicle_41,5521,7507,22,7,3
vehicle_42,6832,8481,41,13,18
vehicle_43,9760,9255,27,27,23
vehicle_11,5599,7464,59,7,2
vehicle_12,7045,8121,46,13,15
vehicle_13,9694,9323,28,27,22
vehicle_21,5621,7455,0,7,15
vehicle_22,7038,8221,41,13,2
vehicle_23,9731,9282,43,27,14
vehicle_31,5163,7699,25,7,6
vehicle_32,6719,8450,36,13,27
vehicle_33,9986,9181,53,27,6
vehicle_41,5519,7498,30,7,3
vehicle_42,6820,8480,43,13,18
vehicle_43,9753,9261,33,27,23
vehicle_11,5611,7461,43,7,2
vehicle_12,7042,8113,32,13,15
vehicle_13,9687,9326,30,27,22
vehicle_21,5621,7455,0,7,15
vehicle_22,7039,8210,40,13,2
vehicle_23,9724,9290,40,27,14
vehicle_31,5164,7689,34,7,6
vehicle_32,6721,8438,44,13,27
vehicle_33,9974,9171,54,27,6
vehicle_41,5519,7489,35,7,3
vehicle_42,6808,8479,43,13,18
vehicle_43,9745,9269,40,27,23
vehicle_11,5618,7459,28,7,2
vehicle_12,7035,8106,36,13,15
vehicle_13,9679,9324,29,27,22
vehicle_21,5621,7455,0,7,15
vehicle_22,7040,8199,37,13,2
vehicle_23,9715,9298,42,27,14
vehicle_31,5164,7677,44,7,6
vehicle_32,6723,8424,50,13,27
vehicle_33,9964,9162,50,27,6
vehicle_41,5527,7482,39,7,3
vehicle_42,6797,8478,43,13,18
vehicle_43,9736,9278,47,27,23
vehicle_11,5622,7458,12,7,2
vehicle_12,7026,8099,40,13,15
vehicle_13,9670,9319,37,27,22
vehicle_21,5621,7455,0,7,15
vehicle_22,7040,8189,37,13,2
vehicle_23,9708,9306,38,27,14
vehicle_31,5162,7664,50,7,6
vehicle_32,6725,8414,37,13,27
vehicle_33,9952,9153,55,27,6
vehicle_41,5539,7479,47,7,3
vehicle_42,6785,8477,42,13,18
vehicle_43,9726,9288,50,27,23
vehicle_11,5622,7458,0,7,2
vehicle_12,7016,8091,46,13,15
vehicle_13,9660,9314,42,27,22
vehicle_14,6915,3519,0,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7041,8178,41,13,2
vehicle_23,9702,9313,34,27,14
vehicle_31,5157,7651,50,7,6
vehicle_32,6726,8407,24,13,27
vehicle_33,9941,9143,51,27,6
vehicle_41,5555,7478,54,7,3
vehicle_42,6774,8477,41,13,18
vehicle_43,9717,9296,43,27,23
vehicle_11,5622,7458,0,7,2
vehicle_12,7005,8082,51,13,15
vehicle_13,9649,9307,45,27,22
vehicle_14,6914,3520,6,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7042,8167,40,13,2
vehicle_23,9699,9317,18,27,14
vehicle_31,5151,7638,49,7,6
vehicle_32,6726,8405,8,13,27
vehicle_33,9930,9134,53,27,6
vehicle_34,7154,3634,0,16,19
vehicle_41,5571,7474,60,7,3
vehicle_42,6762,8476,43,13,18
vehicle_43,9710,9304,37,27,23
vehicle_44,6875,3304,0,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6994,8073,52,13,15
vehicle_13,9639,9301,43,27,22
vehicle_14,6911,3522,13,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7043,8156,38,13,2
vehicle_23,9695,9322,24,27,14
vehicle_31,5145,7627,47,7,6
vehicle_32,6726,8405,0,13,27
