crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771178920.40514,2,1,0,1,0,14.0657,15.1490,2.78,1.0833
1,1771178927.4449668,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
2,1771178943.9972138,2,11,0,11,0,13.0473,13.7418,34.38,0.3681
3,1771179046.284855,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
4,1771179089.8465424,2,14,0,14,0,12.7137,13.9788,29.17,1.2651
5,1771179248.9955418,2,2,0,2,0,13.1405,12.4566,5.00,-0.6840
6,1771179253.455894,2,4,0,4,0,13.3852,12.6064,10.00,-0.7788
7,1771179329.6449692,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
8,1771179359.7156782,2,5,0,5,0,14.4792,15.0285,12.50,0.5493
9,1771179386.1952715,2,2,0,2,0,15.6421,15.4526,5.00,-0.1895
10,1771179395.8857596,2,6,0,6,0,13.1885,12.9081,15.79,0.0000
11,1771179585.5366638,2,8,0,8,0,13.3754,13.9208,16.67,0.5454
12,1771179601.7304938,2,2,0,2,0,15.2829,15.1679,5.26,-0.6594
13,1771179652.3248487,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
14,1771179694.374952,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
15,1771179700.976215,2,11,0,11,0,13.1397,13.4078,32.35,0.2589
16,1771179732.8259237,2,7,0,7,0,12.4085,13.1988,21.88,0.6497
