crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771178864.0825808,2,3,0,0,3,45.6948,45.6277,7.50,-0.0670
1,1771178908.6051679,2,29,0,0,29,45.1518,0.0000,362.50,0.0000
2,1771178937.5631595,2,9,0,0,9,45.6407,46.3178,25.00,0.6771
3,1771178962.0923638,2,2,0,0,2,46.1799,46.8576,5.56,0.6777
4,1771178970.9948792,2,15,0,0,15,44.7443,44.9931,83.33,0.0000
5,1771179034.8172681,2,20,0,0,20,45.4246,45.4230,76.92,0.2606
6,1771179040.2347255,2,37,0,0,37,45.0888,45.8184,370.00,0.4823
7,1771179077.922542,2,8,0,0,8,43.9667,0.0000,23.53,0.0000
8,1771179087.8560596,2,34,0,0,34,45.4908,45.7115,566.67,0.4545
9,1771179233.012346,2,2,0,0,2,44.9736,44.9736,5.00,0.0000
10,1771179233.335889,2,16,0,0,16,45.2032,0.0000,133.33,0.0000
11,1771179271.0221062,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
12,1771179392.7181785,2,42,0,0,42,44.8490,44.9988,700.00,0.4423
13,1771179405.0544765,2,10,0,0,10,45.3067,46.0021,45.45,-0.1524
14,1771179450.2828298,2,23,0,0,23,44.7236,46.1299,95.83,0.6515
15,1771179523.9030335,2,9,0,0,9,44.9221,0.0000,32.14,0.0000
16,1771179567.5647073,2,24,0,0,24,44.8717,44.9774,240.00,0.1332
17,1771179607.5025806,2,2,0,0,2,45.1897,45.2814,6.25,0.0917
18,1771179609.256348,2,32,0,0,32,40.6111,45.6692,800.00,0.9350
19,1771179673.8335903,2,9,0,0,9,45.1949,0.0000,34.62,0.0000
