crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771176521.349898,2,1,0,1,0,39.0653,37.6890,2.08,-1.3762
1,1771176548.3796258,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
2,1771176555.7102253,2,1,0,1,0,39.0381,0.0000,2.63,0.0000
3,1771176728.0701113,2,1,0,1,0,39.1305,37.2009,1.56,-1.9296
4,1771176736.1206677,2,4,0,4,0,38.8395,38.2128,7.14,-0.6267
5,1771176737.9702868,2,2,0,2,0,37.8853,37.2992,3.57,-0.5862
6,1771176808.4596374,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
7,1771176940.2998512,2,1,0,1,0,36.0399,36.7561,2.50,0.7162
8,1771177009.660085,2,1,0,1,0,40.4796,39.3691,1.79,-1.1105
9,1771177161.6499515,2,2,0,2,0,37.7678,36.3314,4.17,-1.4363
10,1771177238.5798779,2,1,0,1,0,40.1502,40.4812,1.56,0.3310
11,1771177324.14047,2,3,0,3,0,38.6782,36.7719,7.50,-1.9063
