crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771176504.6107628,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1771176606.1808703,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
2,1771176693.7113795,2,1,0,0,1,31.7911,0.0000,1.61,0.0000
3,1771176695.861683,2,3,0,0,3,32.5632,32.7064,4.69,0.1432
4,1771176863.0508647,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
5,1771176888.2257218,2,37,0,0,37,30.4134,0.0000,925.00,0.0000
6,1771176942.20075,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
7,1771176987.7227921,2,20,0,0,20,29.8096,0.0000,500.00,0.0000
8,1771177010.1608245,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
9,1771177019.2908337,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
10,1771177026.0708234,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
11,1771177069.870825,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
12,1771177134.9508405,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
13,1771177159.6637645,2,30,0,0,30,30.5447,0.0000,150.00,0.0000
14,1771177175.6311002,2,2,0,0,2,33.6764,0.0000,5.56,0.0000
15,1771177177.715274,2,26,0,0,26,31.6509,0.0000,185.71,0.0000
16,1771177219.5920293,2,9,0,0,9,32.2061,0.0000,32.14,0.0000
17,1771177237.2513187,2,1,0,0,1,31.2748,0.0000,2.17,0.0000
18,1771177285.2714376,2,2,0,0,2,32.1499,32.0607,5.00,-0.0892
19,1771177319.140761,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
