No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,energy_consumption
0,1761671214.896499,0,1,0.0324,0.0,0.0017,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,6.77,None,None,8.325,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2071.5714285714284
0,1761671214.8975887,0.0,1,0.0324,0.0,0.0017,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,10.04,None,None,4.778,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2071.5714285714284
0,1761671214.9150262,0.0,2,0.055,0.0,0.0034,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,6.8,None,None,5.853,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2085.0
0,1761671214.915619,0.0,2,0.055,0.0,0.0034,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,10.09,None,None,5.102,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2085.0
0,1761671214.9294562,0.0,3,0.0767,0.0,0.0092,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,6.32,None,None,5.125,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2090.223649589847
0,1761671214.9298387,0.0,3,0.0767,0.0,0.0092,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,8.48,None,None,5.082,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2090.223649589847
0,1761671214.9481804,0.1,4,0.1059,0.0,0.0147,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,5.65,None,None,5.285,True,None,sfc_cache_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,2107.2469431976474
0,1761671214.9484828,0.1,4,0.1059,0.0,0.0147,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,7.62,None,None,4.952,True,None,sfc_unique_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,2107.2469431976474
0,1761671214.9630575,0.1,5,0.1324,0.0,0.0213,0.0748,14.9402,0.0,7.4841,0.0,0.0,0.0,5.91,None,None,5.459,True,None,sfc_cache_p5_1,0,None,16.66,0,66.0,11,10,0,0,0,False,100.0,13.834,0.0,9.9,2133.652209410308
0,1761671214.9633734,0.1,5,0.1324,0.0,0.0213,0.0748,14.9402,0.0,7.4841,0.0,0.0,0.0,8.6,None,None,5.099,True,None,sfc_unique_p5_1,0,None,16.66,0,66.0,11,10,0,0,0,False,100.0,13.834,0.0,9.9,2133.652209410308
0,1761671214.9775648,0.1,6,0.1496,0.0,0.0262,0.0748,17.3884,0.0,7.4841,0.0,0.0,0.0,5.91,None,None,5.132,True,None,sfc_cache_p6_1,0,None,24.99,0,99.0,15,12,0,0,0,False,100.0,13.417499999999999,0.0,8.25,2157.336236650673
0,1761671214.9778996,0.1,6,0.1496,0.0,0.0262,0.0748,17.3884,0.0,7.4841,0.0,0.0,0.0,7.77,None,None,5.285,True,None,sfc_unique_p6_1,0,None,24.99,0,99.0,15,12,0,0,0,False,100.0,13.417499999999999,0.0,8.25,2157.336236650673
0,1761671236.9006746,22.0,6,0.1744,0.0,0.0279,0.0998,20.7363,0.0,9.9788,0.0,0.0,0.0,5.01,None,None,5.727,True,None,sfc_cache_p1_2,0,None,24.99,0,99.0,16,14,0,0,0,False,100.0,13.715,0.0,9.428571428571429,2175.328807460145
0,1761671236.9010603,22.0,6,0.1744,0.0,0.0279,0.0998,20.7363,0.0,9.9788,0.0,0.0,0.0,7.28,None,None,5.39,True,None,sfc_unique_p1_2,0,None,24.99,0,99.0,16,14,0,0,0,False,100.0,13.715,0.0,9.428571428571429,2175.328807460145
0,1761671236.9152977,22.0,7,0.1907,0.0,0.0296,0.0998,23.1846,0.0,9.9788,0.0,0.0,0.0,5.05,None,None,5.269,True,None,sfc_cache_p2_2,0,None,33.32,0,132.0,20,16,0,0,0,False,100.0,13.4175,0.0,8.25,2197.274713666615
0,1761671236.9155927,22.0,7,0.1907,0.0,0.0296,0.0998,23.1846,0.0,9.9788,0.0,0.0,0.0,7.36,None,None,5.042,True,None,sfc_unique_p2_2,0,None,33.32,0,132.0,20,16,0,0,0,False,100.0,13.4175,0.0,8.25,2197.274713666615
0,1761671236.9361193,22.0,8,0.2062,0.0,0.0312,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,5.07,None,None,5.814,True,None,sfc_cache_p3_2,0,None,41.65,0,165.0,24,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,2220.95874090698
0,1761671236.9364693,22.0,8,0.2062,0.0,0.0312,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,7.4,None,None,5.198,True,None,sfc_unique_p3_2,0,None,41.65,0,165.0,24,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,2220.95874090698
0,1761671236.9507625,22.1,9,0.2223,0.0,0.0329,0.0998,28.0811,0.0,9.9788,0.0,0.0,0.0,5.07,None,None,5.352,True,None,sfc_cache_p4_2,0,None,49.98,0,198.0,28,20,0,0,0,False,100.0,13.001,0.0,6.6,2222.5014587525147
0,1761671236.9510705,22.1,9,0.2223,0.0,0.0329,0.0998,28.0811,0.0,9.9788,0.0,0.0,0.0,7.4,None,None,5.083,True,None,sfc_unique_p4_2,0,None,49.98,0,198.0,28,20,0,0,0,False,100.0,13.001,0.0,6.6,2222.5014587525147
0,1761671236.9693193,22.1,10,0.2291,0.0227,0.0373,0.0998,29.5574,2.2679,9.9788,0.0,0.0,0.0,5.42,None,None,5.413,True,None,sfc_cache_p5_2,0,None,58.31,0,231.0,32,22,0,0,0,False,100.0,12.440454545454545,0.4090909090909091,6.0,2234.6899744621574
0,1761671236.9696481,22.1,10,0.2291,0.0227,0.0373,0.0998,29.5574,2.2679,9.9788,0.0,0.0,0.0,8.01,None,None,5.244,True,None,sfc_unique_p5_2,0,None,58.31,0,231.0,32,22,0,0,0,False,100.0,12.440454545454545,0.4090909090909091,6.0,2234.6899744621574
0,1761671236.9843564,22.1,11,0.2285,0.0672,0.0417,0.0998,30.0974,6.7206,9.9788,0.0,0.0,0.0,5.01,None,None,5.182,True,None,sfc_cache_p6_2,0,None,66.64,0,264.0,36,24,0,0,0,False,100.0,11.612083333333333,1.11125,5.5,2267.515001547748
0,1761671236.984716,22.1,11,0.2285,0.0672,0.0417,0.0998,30.0974,6.7206,9.9788,0.0,0.0,0.0,7.1,None,None,5.606,True,None,sfc_unique_p6_2,0,None,66.64,0,264.0,36,24,0,0,0,False,100.0,11.612083333333333,1.11125,5.5,2267.515001547748
0,1761671255.9291909,41.0,11,0.2488,0.0672,0.0434,0.1247,33.4453,6.7206,12.4735,0.0,0.0,0.0,5.54,None,None,5.62,True,None,sfc_cache_p1_3,0,None,66.64,0,264.0,37,26,0,0,0,False,100.0,11.911153846153846,1.0257692307692308,6.346153846153846,2285.50757235722
0,1761671255.9295537,41.0,11,0.2488,0.0672,0.0434,0.1247,33.4453,6.7206,12.4735,0.0,0.0,0.0,8.24,None,None,4.929,True,None,sfc_unique_p1_3,0,None,66.64,0,264.0,37,26,0,0,0,False,100.0,11.911153846153846,1.0257692307692308,6.346153846153846,2285.50757235722
0,1761671255.9495606,41.1,12,0.2605,0.0672,0.0451,0.1247,35.8936,6.7206,12.4735,0.0,0.0,0.0,5.85,None,None,5.615,True,None,sfc_cache_p2_3,0,None,74.97,0,297.0,41,28,0,0,0,False,100.0,11.870000000000001,0.9525,5.892857142857143,2303.5856562451636
0,1761671255.9499183,41.1,12,0.2605,0.0672,0.0451,0.1247,35.8936,6.7206,12.4735,0.0,0.0,0.0,8.86,None,None,5.207,True,None,sfc_unique_p2_3,0,None,74.97,0,297.0,41,28,0,0,0,False,100.0,11.870000000000001,0.9525,5.892857142857143,2303.5856562451636
0,1761671255.966031,41.1,13,0.2716,0.0672,0.0468,0.1247,38.3418,6.7206,12.4735,0.0,0.0,0.0,5.68,None,None,5.295,True,None,sfc_cache_p3_3,0,None,83.3,0,330.0,45,30,0,0,0,False,100.0,11.834333333333332,0.889,5.5,2327.2696834855287
0,1761671255.966349,41.1,13,0.2716,0.0672,0.0468,0.1247,38.3418,6.7206,12.4735,0.0,0.0,0.0,8.52,None,None,4.857,True,None,sfc_unique_p3_3,0,None,83.3,0,330.0,45,30,0,0,0,False,100.0,11.834333333333332,0.889,5.5,2327.2696834855287
0,1761671255.9800396,41.1,14,0.2849,0.0672,0.0484,0.1247,40.7901,6.7206,12.4735,0.0,0.0,0.0,6.35,None,None,5.017,True,None,sfc_cache_p4_3,0,None,91.63,0,363.0,49,32,0,0,0,False,100.0,11.803125,0.8334375,5.15625,2337.515001547748
0,1761671255.98035,41.1,14,0.2849,0.0672,0.0484,0.1247,40.7901,6.7206,12.4735,0.0,0.0,0.0,9.88,None,None,4.9,True,None,sfc_unique_p4_3,0,None,91.63,0,363.0,49,32,0,0,0,False,100.0,11.803125,0.8334375,5.15625,2337.515001547748
0,1761671255.995246,41.1,15,0.2977,0.0672,0.0501,0.1247,43.2384,6.7206,12.4735,0.0,0.0,0.0,5.54,None,None,4.987,True,None,sfc_cache_p5_3,0,None,99.96,0,396.0,53,34,0,0,0,False,100.0,11.775588235294117,0.7844117647058824,4.852941176470588,2337.515001547748
0,1761671255.9956183,41.1,15,0.2977,0.0672,0.0501,0.1247,43.2384,6.7206,12.4735,0.0,0.0,0.0,8.24,None,None,4.897,True,None,sfc_unique_p5_3,0,None,99.96,0,396.0,53,34,0,0,0,False,100.0,11.775588235294117,0.7844117647058824,4.852941176470588,2337.515001547748
0,1761671256.0122607,41.1,16,0.3009,0.0899,0.0573,0.1247,44.7147,8.9885,12.4735,0.0,0.0,0.0,5.58,None,None,5.292,True,None,sfc_cache_p6_3,0,None,108.29,0,429.0,56,36,0,0,0,False,100.0,11.501111111111111,0.9908333333333333,4.583333333333333,2364.486445596657
0,1761671256.012658,41.1,16,0.3009,0.0899,0.0573,0.1247,44.7147,8.9885,12.4735,0.0,0.0,0.0,8.26,None,None,5.609,True,None,sfc_unique_p6_3,0,None,108.29,0,429.0,56,36,0,0,0,False,100.0,11.501111111111111,0.9908333333333333,4.583333333333333,2364.486445596657
0,1761671272.9572742,58.1,16,0.3009,0.1445,0.0687,0.1497,45.7223,14.4491,14.9682,0.0,0.0,0.0,4.88,None,None,6.203,True,None,sfc_cache_p1_4,0,None,108.29,0,429.0,56,38,0,0,0,False,100.0,11.141315789473685,1.5089473684210528,5.2105263157894735,2377.3965988237114
0,1761671272.95767,58.1,16,0.3009,0.1445,0.0687,0.1497,45.7223,14.4491,14.9682,0.0,0.0,0.0,7.81,None,None,5.17,True,None,sfc_unique_p1_4,0,None,108.29,0,429.0,56,38,0,0,0,False,100.0,11.141315789473685,1.5089473684210528,5.2105263157894735,2377.3965988237114
