timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1770815405.7936904;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;841.00;1749.34;1832.67;388.00;388.00;0.00;0.00;1841.00;0.00;1444.67;2363.33;0.00;0.00;0.00;647.00;0.00;0.00;0.00;0.00
1770815405.7944036;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;841.00;1749.34;1832.67;388.00;388.00;0.00;0.00;1841.00;0.00;1444.67;2363.33;0.00;0.00;0.00;647.00;0.00;0.00;0.00;0.00
1770815431.6592724;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2086.34;2399.67;485.00;388.00;0.00;0.00;1841.00;0.00;1914.67;2663.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
1770815431.660186;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2086.34;2399.67;485.00;388.00;0.00;0.00;1841.00;0.00;1914.67;2663.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
1770815431.7103565;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2086.34;2709.67;812.00;388.00;0.00;0.00;1841.00;230.00;2251.67;2963.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
1770815431.711205;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2086.34;2709.67;812.00;388.00;0.00;0.00;1841.00;230.00;2251.67;2963.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
1770815431.7616148;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2406.34;2949.67;909.00;388.00;0.00;0.00;1841.00;230.00;2588.67;3263.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
1770815431.7625303;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2406.34;2949.67;909.00;388.00;0.00;0.00;1841.00;230.00;2588.67;3263.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
1770815431.8122258;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2406.34;3094.34;1006.00;388.00;0.00;0.00;1841.00;230.00;2701.00;3563.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
1770815431.8131883;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1178.00;2406.34;3094.34;1006.00;388.00;0.00;0.00;1841.00;230.00;2701.00;3563.33;0.00;0.00;0.00;984.00;0.00;0.00;0.00;0.00
