timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772814105.26844;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;384.67;320.00;320.00;160.00;160.00;160.00;369.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;686.33;160.00;0.00;289.33;0.00;0.00;0.00;0.00;384.67
1772814105.269321;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;384.67;320.00;320.00;160.00;160.00;160.00;369.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;686.33;160.00;0.00;289.33;0.00;0.00;0.00;0.00;384.67
1772814105.2995234;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;721.67;710.00;720.00;240.00;240.00;240.00;449.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;836.33;480.00;0.00;439.33;0.00;310.00;0.00;0.00;721.67
1772814105.3004267;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;721.67;710.00;720.00;240.00;240.00;240.00;449.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;836.33;480.00;0.00;439.33;0.00;310.00;0.00;0.00;721.67
1772814105.3285785;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;721.67;807.00;864.67;480.00;320.00;320.00;529.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;986.33;704.67;320.00;439.33;0.00;422.33;0.00;0.00;721.67
1772814105.3294425;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;721.67;807.00;864.67;480.00;320.00;320.00;529.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;986.33;704.67;320.00;439.33;0.00;422.33;0.00;0.00;721.67
1772814105.3576593;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;721.67;904.00;1009.34;624.67;560.00;400.00;609.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;1136.33;704.67;704.67;439.33;160.00;534.66;0.00;0.00;721.67
1772814105.3586175;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;721.67;904.00;1009.34;624.67;560.00;400.00;609.34;466.33;240.00;0.00;0.00;0.00;209.34;700.00;706.33;1136.33;704.67;704.67;439.33;160.00;534.66;0.00;0.00;721.67
1772814105.3877463;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;240.00;80.00;80.00;32.33;369.34;850.00;706.33;1136.33;704.67;929.34;439.33;480.00;534.66;0.00;112.33;721.67
1772814105.388814;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;240.00;80.00;80.00;32.33;369.34;850.00;706.33;1136.33;704.67;929.34;439.33;480.00;534.66;0.00;112.33;721.67
