crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769388214.75913,2,0,0,0,0
1,1769388223.5793762,2,0,0,0,0
2,1769388231.1692314,2,0,0,0,0
3,1769388233.369662,2,0,0,0,0
4,1769388236.539504,2,3,3,0,0
5,1769388256.695217,2,8,8,0,0
6,1769388263.1995866,2,4,4,0,0
7,1769388264.637751,2,6,6,0,0
8,1769388271.1688478,2,4,4,0,0
9,1769388316.5488372,2,5,5,0,0
10,1769388323.8504732,2,24,24,0,0
11,1769388326.8189914,2,7,7,0,0
12,1769388338.1316812,2,14,14,0,0
13,1769388407.269921,2,12,12,0,0
14,1769388417.75136,2,18,18,0,0
15,1769388421.947016,2,21,21,0,0
16,1769388431.8936672,2,10,10,0,0
17,1769388443.980243,2,13,13,0,0
18,1769388455.6246748,2,8,8,0,0
19,1769388462.9406679,2,10,10,0,0
20,1769388516.8150022,2,20,20,0,0
21,1769388533.152366,2,23,23,0,0
22,1769388555.2300887,2,16,16,0,0
23,1769388561.3931901,2,19,19,0,0
24,1769388585.4507594,2,13,13,0,0
25,1769388643.07467,2,13,13,0,0
26,1769388704.7170231,2,7,7,0,0
27,1769388722.9195893,2,12,12,0,0
28,1769388777.7388957,2,9,9,0,0
29,1769388849.000366,2,19,19,0,0
30,1769388853.902236,2,8,8,0,0
31,1769388884.6007009,2,13,13,0,0
32,1769388891.4926002,2,8,8,0,0
33,1769388912.8592436,2,2,2,0,0
34,1769388925.8996148,2,14,14,0,0
35,1769388939.6946054,2,8,8,0,0
36,1769388963.3204634,2,10,10,0,0
37,1769388967.8873544,2,7,7,0,0
38,1769388975.0875823,2,15,15,0,0
39,1769388995.9902787,2,11,11,0,0
40,1769389011.9555538,2,10,10,0,0
41,1769389020.6471639,2,16,16,0,0
42,1769389037.2004583,2,14,14,0,0
43,1769389069.059115,2,14,14,0,0
44,1769389079.439176,2,9,9,0,0
45,1769389100.4590282,2,9,9,0,0
46,1769389122.8401873,2,19,19,0,0
47,1769389130.2636936,2,19,19,0,0
48,1769389145.971822,2,10,10,0,0
49,1769389174.7797024,2,5,5,0,0
