crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769878848.6838694,2,11,0,0,11,24.3737,0.0000,39.29,0.0000
1,1769878860.8353379,2,19,0,0,19,23.6717,0.0000,118.75,0.0000
2,1769878888.7844424,2,3,0,0,3,24.6135,0.0000,8.33,0.0000
3,1769878953.0147996,2,22,0,0,22,23.8317,0.0000,220.00,0.0000
4,1769878973.114052,2,11,0,0,11,23.6823,0.0000,61.11,0.0000
5,1769878997.1136982,2,9,0,0,9,23.9266,0.0000,40.91,0.0000
6,1769879032.191787,2,20,0,0,20,23.9197,0.0000,166.67,0.0000
7,1769879043.2056446,2,18,0,0,18,24.1117,0.0000,128.57,0.0000
8,1769879059.4642265,2,15,0,0,15,23.8132,0.0000,93.75,0.0000
9,1769879079.8234596,2,9,0,0,9,24.8346,0.0000,34.62,0.0000
10,1769879183.2362084,2,22,0,0,22,24.2360,0.0000,137.50,0.0000
11,1769879242.5649035,2,15,0,0,15,23.9239,0.0000,57.69,0.0000
12,1769879411.055501,2,16,0,0,16,23.9326,0.0000,72.73,0.0000
13,1769879433.8201582,2,18,0,0,18,24.1725,0.0000,112.50,0.0000
14,1769879444.2434378,2,7,0,0,7,23.8974,0.0000,43.75,0.0000
15,1769879464.3548927,2,12,0,0,12,23.8077,0.0000,85.71,0.0000
16,1769879484.7758045,2,19,0,0,19,24.2708,0.0000,118.75,0.0000
17,1769879514.674683,2,23,0,0,23,23.8844,0.0000,164.29,0.0000
18,1769879522.5353813,2,15,0,0,15,24.2866,0.0000,107.14,0.0000
19,1769879595.6454673,2,17,0,0,17,23.9233,0.0000,141.67,0.0000
