crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769878650.5903447,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1769878662.6806667,2,1,0,1,0,9.9795,0.0000,10.00,0.0000
2,1769878761.5332203,2,19,0,19,0,11.8336,0.0000,118.75,0.0000
3,1769878851.482513,2,12,0,12,0,11.8204,0.0000,46.15,0.0000
4,1769878960.3314269,2,12,0,12,0,11.4533,0.0000,66.67,0.0000
5,1769879071.531576,2,11,0,11,0,11.6356,0.0000,50.00,0.0000
6,1769879127.8716183,2,14,0,14,0,12.0383,0.0000,50.00,0.0000
7,1769879132.911715,2,13,0,13,0,11.7850,0.0000,59.09,0.0000
8,1769879140.5717528,2,16,0,16,0,12.0727,0.0000,100.00,0.0000
9,1769879195.4711177,2,14,0,14,0,11.1143,0.0000,50.00,0.0000
10,1769879268.6968534,2,13,0,13,0,11.4545,0.0000,65.00,0.0000
11,1769879283.0913975,2,13,0,13,0,11.6629,0.0000,65.00,0.0000
12,1769879343.7518322,2,8,0,8,0,11.5354,0.0000,44.44,0.0000
13,1769879390.050996,2,6,0,6,0,12.0252,0.0000,16.67,0.0000
14,1769879409.6217587,2,13,0,13,0,11.2633,0.0000,54.17,0.0000
15,1769879458.4920387,2,9,0,9,0,11.7182,0.0000,45.00,0.0000
16,1769879466.9820256,2,19,0,19,0,11.4782,0.0000,105.56,0.0000
17,1769879474.5335677,2,21,0,21,0,11.7682,0.0000,210.00,0.0000
18,1769879606.952885,2,16,0,16,0,11.7208,0.0000,88.89,0.0000
19,1769879611.7272134,2,10,0,10,0,11.7156,0.0000,45.45,0.0000
