crash_trial,sfc_id,vnf_id,recover_success,backup_success,backup_efficient,latency_diff,latency_deg,resource_deg,time_to_recover
18,sfc_unique_p3_19,unknown,False,False,0,0,0,0,0
19,sfc_unique_p4_16,unknown,False,False,0,0,0,0,0
19,sfc_unique_p5_16,unknown,False,False,0,0,0,0,0
19,sfc_cache_p2_19,unknown,False,False,0,0,0,0,0
19,sfc_unique_p4_19,unknown,False,False,0,0,0,0,0
19,sfc_cache_p4_18,unknown,False,False,0,0,0,0,0
19,sfc_unique_p1_18,unknown,False,False,0,0,0,0,0
19,sfc_cache_p1_19,unknown,False,False,0,0,0,0,0
19,sfc_unique_p3_19,unknown,False,False,0,0,0,0,0
20,sfc_cache_p5_17,unknown,False,False,0,0,0,0,0
20,sfc_unique_p3_17,unknown,False,False,0,0,0,0,0
20,sfc_unique_p1_16,unknown,False,False,0,0,0,0,0
20,sfc_unique_p1_19,unknown,False,False,0,0,0,0,0
20,sfc_unique_p5_16,unknown,False,False,0,0,0,0,0
21,sfc_unique_p2_18,unknown,False,False,0,0,0,0,0
21,sfc_unique_p3_20,unknown,False,False,0,0,0,0,0
21,sfc_cache_p1_19,unknown,False,False,0,0,0,0,0
21,sfc_cache_p4_21,unknown,False,False,0,0,0,0,0
21,sfc_unique_p5_18,unknown,False,False,0,0,0,0,0
21,sfc_unique_p6_18,unknown,False,False,0,0,0,0,0
21,sfc_cache_p3_19,unknown,False,False,0,0,0,0,0
21,sfc_unique_p3_21,unknown,False,False,0,0,0,0,0
21,sfc_cache_p6_21,unknown,False,False,0,0,0,0,0
22,sfc_unique_p2_22,unknown,False,False,0,0,0,0,0
22,sfc_cache_p2_23,unknown,False,False,0,0,0,0,0
22,sfc_unique_p1_24,unknown,False,False,0,0,0,0,0
22,sfc_unique_p3_22,unknown,False,False,0,0,0,0,0
22,sfc_unique_p1_21,unknown,False,False,0,0,0,0,0
23,sfc_unique_p6_24,unknown,False,False,0,0,0,0,0
23,sfc_unique_p1_21,unknown,False,False,0,0,0,0,0
23,sfc_unique_p2_21,unknown,False,False,0,0,0,0,0
23,sfc_unique_p4_24,unknown,False,False,0,0,0,0,0
23,sfc_unique_p3_20,unknown,False,False,0,0,0,0,0
24,sfc_cache_p2_22,unknown,False,False,0,0,0,0,0
24,sfc_cache_p1_26,unknown,False,False,0,0,0,0,0
24,sfc_cache_p6_24,unknown,False,False,0,0,0,0,0
24,sfc_cache_p1_22,unknown,False,False,0,0,0,0,0
24,sfc_cache_p2_24,unknown,False,False,0,0,0,0,0
24,sfc_cache_p3_24,unknown,False,False,0,0,0,0,0
25,sfc_unique_p2_26,unknown,False,False,0,0,0,0,0
25,sfc_unique_p2_23,unknown,False,False,0,0,0,0,0
25,sfc_cache_p6_22,unknown,False,False,0,0,0,0,0
25,sfc_unique_p1_26,unknown,False,False,0,0,0,0,0
25,sfc_cache_p3_28,unknown,False,False,0,0,0,0,0
25,sfc_cache_p6_28,unknown,False,False,0,0,0,0,0
25,sfc_unique_p5_24,unknown,False,False,0,0,0,0,0
25,sfc_unique_p3_25,unknown,False,False,0,0,0,0,0
25,sfc_cache_p1_24,unknown,False,False,0,0,0,0,0
25,sfc_cache_p1_28,unknown,False,False,0,0,0,0,0
25,sfc_unique_p5_28,unknown,False,False,0,0,0,0,0
26,sfc_unique_p3_26,unknown,False,False,0,0,0,0,0
26,sfc_cache_p1_26,unknown,False,False,0,0,0,0,0
26,sfc_unique_p5_26,unknown,False,False,0,0,0,0,0
