crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771000558.8329694,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1771000583.3841083,2,6,6,0,0,50.1312,50.3093,15.00,0.1782
2,1771000596.9041986,2,8,8,0,0,50.4939,51.0595,16.67,0.5657
3,1771000661.145299,2,17,17,0,0,50.6891,51.4586,42.50,0.7694
4,1771000695.3842034,2,7,7,0,0,50.9113,51.1793,21.88,0.2680
5,1771000723.903808,2,7,7,0,0,51.3545,51.3209,17.50,-0.0336
6,1771000725.203867,2,4,4,0,0,51.7658,51.8174,10.53,0.1764
7,1771000819.595067,2,13,13,0,0,50.2824,50.9946,46.43,0.6891
8,1771000911.4439614,2,3,3,0,0,50.6791,51.1656,10.71,0.0000
9,1771000953.1730607,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
10,1771000972.738637,2,8,8,0,0,52.4184,52.9763,30.77,-0.6670
11,1771000979.6242106,2,4,4,0,0,50.2161,50.8367,14.29,1.4958
12,1771000996.2817523,2,28,28,0,0,52.7155,51.9488,200.00,-0.2216
13,1771001084.4331203,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
14,1771001111.9088728,2,14,14,0,0,50.9598,51.0628,58.33,0.9189
15,1771001196.028787,2,4,4,0,0,39.4178,0.0000,15.38,0.0000
16,1771001291.674053,2,3,3,0,0,51.9121,52.6048,10.71,0.0740
17,1771001367.740859,2,1,1,0,0,55.1144,54.3630,3.85,-0.7513
18,1771001405.2130172,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
