crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771000544.778986,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1771000632.2503133,2,5,0,5,0,32.3071,31.9727,14.71,-0.5003
2,1771000743.3498635,2,3,0,3,0,32.0228,32.2429,7.50,0.2201
3,1771000759.2322493,2,12,0,12,0,32.1191,0.0000,75.00,0.0000
4,1771000770.6430664,2,18,0,18,0,31.6479,32.2572,69.23,0.5449
5,1771000810.7995493,2,1,0,1,0,31.0503,0.0000,2.38,0.0000
6,1771000889.0405517,2,15,0,15,0,32.6130,32.8902,50.00,0.3349
7,1771000907.4821591,2,18,0,18,0,33.2382,33.3366,81.82,0.4451
8,1771000969.600297,2,6,0,6,0,32.2298,0.0000,18.75,0.0000
9,1771000971.782866,2,18,0,18,0,32.7010,33.1768,90.00,0.2682
10,1771000989.0412323,2,10,0,10,0,32.4577,32.9714,71.43,0.3970
11,1771000994.7696064,2,3,0,3,0,21.3859,32.5263,30.00,0.8261
12,1771001005.5997822,2,3,0,3,0,33.5362,34.1209,25.00,0.0000
13,1771001029.209313,2,2,0,2,0,30.8250,32.0328,12.50,1.2078
14,1771001081.2302876,2,6,0,6,0,32.4946,33.1751,20.00,0.6617
15,1771001106.5390325,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
16,1771001344.2098505,2,3,0,3,0,32.1796,32.4366,10.00,0.1392
17,1771001366.1223774,2,17,0,17,0,32.5654,32.3672,106.25,0.2784
