No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1761780479.3856528,0,1,0.0198,0.0302,0.0086,0.0249,2.0519,3.0239,2.4947,0.0,0.0,0.0,11.48,None,None,6.561,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,9.5,6.0,16.5,2078.2305546947628,10.0,2088.2305546947628
0,1761780479.3861156,0.0,1,0.0198,0.0302,0.0086,0.0249,2.0519,3.0239,2.4947,0.0,0.0,0.0,17.18,None,None,5.503,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,9.5,6.0,16.5,2078.2305546947628,10.0,2088.2305546947628
0,1761780479.4142926,0.0,2,0.0337,0.0613,0.031,0.0499,3.6006,6.1309,4.9894,0.0,0.0,0.0,11.29,None,None,10.608,True,None,sfc_cache_p2_1,0,None,4.33,0,0,1,4,0,0,0,False,100.0,8.335,6.0825,16.5,2117.4323363256462,20.0,2137.4323363256462
0,1761780479.4149375,0.0,2,0.0337,0.0613,0.031,0.0499,3.6006,6.1309,4.9894,0.0,0.0,0.0,11.64,None,None,9.673,True,None,sfc_unique_p2_1,0,None,4.33,0,0,1,4,0,0,0,False,100.0,8.335,6.0825,16.5,2117.4323363256462,20.0,2137.4323363256462
0,1761780479.4415994,0.1,3,0.0507,0.0832,0.0474,0.0499,5.5802,8.3157,4.9894,0.0,0.0,0.0,10.55,None,None,8.749,True,None,sfc_cache_p3_1,0,None,8.33,0,33.0,3,6,0,0,0,False,100.0,8.611666666666666,5.5,11.0,2148.631592600824,30.0,2178.631592600824
0,1761780479.4419732,0.1,3,0.0507,0.0832,0.0474,0.0499,5.5802,8.3157,4.9894,0.0,0.0,0.0,18.41,None,None,5.433,True,None,sfc_unique_p3_1,0,None,8.33,0,33.0,3,6,0,0,0,False,100.0,8.611666666666666,5.5,11.0,2148.631592600824,30.0,2178.631592600824
0,1761780479.473447,0.1,4,0.0619,0.1285,0.0554,0.0748,6.9841,12.8515,7.4841,0.0,0.0,0.0,6.06,None,None,10.798,True,None,sfc_cache_p4_1,0,None,8.33,0,33.0,5,8,0,0,0,False,100.0,8.08375,6.375,12.375,2185.0601640293958,40.0,2225.0601640293958
0,1761780479.474131,0.1,4,0.0619,0.1285,0.0554,0.0748,6.9841,12.8515,7.4841,0.0,0.0,0.0,8.43,None,None,10.077,True,None,sfc_unique_p4_1,0,None,8.33,0,33.0,5,8,0,0,0,False,100.0,8.08375,6.375,12.375,2185.0601640293958,40.0,2225.0601640293958
0,1761780479.4919527,0.1,5,0.0642,0.1966,0.0696,0.0998,7.4161,19.6553,9.9788,0.0,0.0,0.0,6.3,None,None,5.881,True,None,sfc_cache_p5_1,0,None,8.33,0,33.0,7,10,0,0,0,False,100.0,6.867,7.8,13.2,2234.34587831511,50.0,2284.34587831511
0,1761780479.4923112,0.1,5,0.0642,0.1966,0.0696,0.0998,7.4161,19.6553,9.9788,0.0,0.0,0.0,7.79,None,None,5.575,True,None,sfc_unique_p5_1,0,None,8.33,0,33.0,7,10,0,0,0,False,100.0,6.867,7.8,13.2,2234.34587831511,50.0,2284.34587831511
0,1761780479.51813,0.1,6,0.0793,0.2201,0.0835,0.0998,9.3244,22.0064,9.9788,0.0,0.0,0.0,10.92,None,None,10.089,True,None,sfc_cache_p6_1,0,None,12.33,0,66.0,10,12,0,0,0,False,100.0,7.195,7.2775,11.0,2252.89893688344,60.0,2312.89893688344
0,1761780479.518484,0.1,6,0.0793,0.2201,0.0835,0.0998,9.3244,22.0064,9.9788,0.0,0.0,0.0,10.0,None,None,6.216,True,None,sfc_unique_p6_1,0,None,12.33,0,66.0,10,12,0,0,0,False,100.0,7.195,7.2775,11.0,2252.89893688344,60.0,2312.89893688344
0,1761780506.3923545,27.0,6,0.0976,0.2436,0.0934,0.1247,11.6647,24.3574,12.4735,0.0,0.0,0.0,11.6,None,None,10.286,True,None,sfc_cache_p1_2,0,None,12.33,0,66.0,10,14,0,0,0,False,100.0,7.715000000000001,6.904285714285714,11.785714285714286,2288.817746923725,70.0,2358.817746923725
0,1761780506.392739,27.0,6,0.0976,0.2436,0.0934,0.1247,11.6647,24.3574,12.4735,0.0,0.0,0.0,19.58,None,None,5.579,True,None,sfc_unique_p1_2,0,None,12.33,0,66.0,10,14,0,0,0,False,100.0,7.715000000000001,6.904285714285714,11.785714285714286,2288.817746923725,70.0,2358.817746923725
0,1761780506.4235122,27.0,7,0.1184,0.2579,0.1115,0.1497,14.4002,25.7862,14.9682,0.0,0.0,0.0,7.66,None,None,10.213,True,None,sfc_cache_p2_2,0,None,12.33,0,66.0,11,16,0,0,0,False,100.0,8.33375,6.395625,12.375,2318.396927303853,80.0,2398.396927303853
0,1761780506.424202,27.0,7,0.1184,0.2579,0.1115,0.1497,14.4002,25.7862,14.9682,0.0,0.0,0.0,17.2,None,None,9.521,True,None,sfc_unique_p2_2,0,None,12.33,0,66.0,11,16,0,0,0,False,100.0,8.33375,6.395625,12.375,2318.396927303853,80.0,2398.396927303853
0,1761780506.4576952,27.1,8,0.1379,0.2621,0.1228,0.1497,17.1357,26.207,14.9682,0.0,0.0,0.0,12.55,None,None,10.106,True,None,sfc_cache_p3_2,0,None,16.33,0,99.0,14,18,0,0,0,False,100.0,8.815,5.777777777777778,11.0,2332.858501521393,90.0,2422.858501521393
0,1761780506.4583685,27.1,8,0.1379,0.2621,0.1228,0.1497,17.1357,26.207,14.9682,0.0,0.0,0.0,16.18,None,None,9.529,True,None,sfc_unique_p3_2,0,None,16.33,0,99.0,14,18,0,0,0,False,100.0,8.815,5.777777777777778,11.0,2332.858501521393,90.0,2422.858501521393
0,1761780506.479546,27.1,9,0.151,0.2948,0.142,0.1746,19.0797,29.4829,17.463,0.0,0.0,0.0,8.05,None,None,5.962,True,None,sfc_cache_p4_2,0,None,16.33,0,99.0,16,20,0,0,0,False,100.0,8.833499999999999,5.85,11.55,2378.943262909679,100.0,2478.943262909679
0,1761780506.4799178,27.1,9,0.151,0.2948,0.142,0.1746,19.0797,29.4829,17.463,0.0,0.0,0.0,15.85,None,None,5.487,True,None,sfc_unique_p4_2,0,None,16.33,0,99.0,16,20,0,0,0,False,100.0,8.833499999999999,5.85,11.55,2378.943262909679,100.0,2478.943262909679
0,1761780506.5042944,27.1,10,0.1557,0.3368,0.1591,0.1746,20.1963,33.6811,17.463,0.0,0.0,0.0,10.76,None,None,7.499,True,None,sfc_cache_p5_2,0,None,20.33,0,132.0,18,22,0,0,0,False,100.0,8.500454545454545,6.075454545454545,10.5,2421.6011200525363,110.0,2531.6011200525363
0,1761780506.5046566,27.1,10,0.1557,0.3368,0.1591,0.1746,20.1963,33.6811,17.463,0.0,0.0,0.0,12.66,None,None,5.392,True,None,sfc_unique_p5_2,0,None,20.33,0,132.0,18,22,0,0,0,False,100.0,8.500454545454545,6.075454545454545,10.5,2421.6011200525363,110.0,2531.6011200525363
0,1761780506.5320673,27.1,11,0.164,0.3587,0.1761,0.1746,21.7083,35.8658,17.463,0.0,0.0,0.0,9.47,None,None,10.32,True,None,sfc_cache_p6_2,0,None,24.33,4.33,165.0,22,24,0,0,0,False,100.0,8.375416666666666,5.930416666666667,9.625,2440.281120052536,120.0,2560.281120052536
