crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769911349.8756056,2,4,0,0,4,42.3734,0.0000,14.29,0.0000
1,1769911364.715086,2,1,0,0,1,39.9066,0.0000,2.94,0.0000
2,1769911378.6350236,2,3,0,0,3,40.7577,0.0000,7.50,0.0000
3,1769911451.4851565,2,4,0,0,4,41.4943,0.0000,15.38,0.0000
4,1769911503.1066651,2,10,0,0,10,42.2780,0.0000,38.46,0.0000
5,1769911522.0452263,2,4,0,0,4,40.9421,0.0000,11.76,0.0000
6,1769911550.0653372,2,6,0,0,6,40.6218,0.0000,20.00,0.0000
7,1769911621.5750203,2,4,0,0,4,40.3014,0.0000,11.11,0.0000
8,1769911645.4452686,2,5,0,0,5,42.4541,0.0000,22.73,0.0000
9,1769911725.4856212,2,4,0,0,4,41.1280,0.0000,11.76,0.0000
10,1769911802.2951844,2,5,0,0,5,41.9870,0.0000,17.86,0.0000
11,1769911826.40504,2,3,0,0,3,40.9525,0.0000,6.82,0.0000
12,1769911842.7067664,2,12,0,0,12,41.1248,0.0000,75.00,0.0000
13,1769911934.265285,2,4,0,0,4,42.7731,0.0000,11.11,0.0000
14,1769911938.475631,2,10,0,0,10,40.7786,0.0000,35.71,0.0000
15,1769912009.7720976,2,4,0,0,4,41.0273,0.0000,11.76,0.0000
16,1769912018.5064542,2,10,0,0,10,41.8291,0.0000,55.56,0.0000
17,1769912095.3753014,2,2,0,0,2,41.3144,0.0000,5.00,0.0000
18,1769912109.3156705,2,10,0,0,10,41.1688,0.0000,35.71,0.0000
19,1769912460.2147431,2,8,0,0,8,41.1479,0.0000,28.57,0.0000
