crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769949333.605587,2,3,0,3,0,20.8503,0.0000,50.00,0.0000
1,1769949375.0553546,2,1,0,1,0,22.1789,0.0000,2.94,0.0000
2,1769949439.0066109,2,21,0,21,0,20.9224,0.0000,61.76,0.0000
3,1769949486.928262,2,30,0,30,0,21.5049,0.0000,0.00,0.0000
4,1769949489.996239,2,14,0,14,0,21.2052,0.0000,116.67,0.0000
5,1769949544.0957253,2,4,0,4,0,21.7494,0.0000,8.00,0.0000
6,1769949599.115753,2,5,0,5,0,21.7472,0.0000,12.50,0.0000
7,1769949644.8556268,2,3,0,3,0,23.3471,0.0000,7.89,0.0000
8,1769949758.3862298,2,9,0,9,0,22.3824,0.0000,37.50,0.0000
9,1769949782.4759712,2,3,0,3,0,23.2528,0.0000,6.82,0.0000
10,1769949894.65694,2,20,0,20,0,21.4651,0.0000,100.00,0.0000
11,1769949914.9453769,2,1,0,1,0,21.9155,0.0000,2.17,0.0000
12,1769950013.6172976,2,14,0,14,0,22.0038,0.0000,63.64,0.0000
13,1769950071.5887523,2,19,0,19,0,21.5520,0.0000,67.86,0.0000
14,1769950074.5956025,2,3,0,3,0,22.0256,0.0000,7.14,0.0000
15,1769950206.2563524,2,14,0,14,0,21.4651,0.0000,58.33,0.0000
16,1769950219.495573,2,1,0,1,0,22.1471,0.0000,1.85,0.0000
17,1769950225.487665,2,15,0,15,0,21.9439,0.0000,50.00,0.0000
18,1769950258.8958018,2,4,0,4,0,21.7607,0.0000,11.11,0.0000
19,1769950273.8261483,2,13,0,13,0,22.2501,0.0000,50.00,0.0000
