No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow
0,1758208354.0445967,0,1,0.0108,0.0042,0.0275,18.0,0.0,7.78,None,None,8.645,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,6.5,16.5
0,1758208354.0454867,0.0,1,0.0108,0.0042,0.0275,18.0,0.0,13.36,None,None,8.472,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,6.5,16.5
0,1758208354.064945,0.0,2,0.0183,0.0083,0.0275,36.0,0.0,8.71,None,None,7.571,True,None,sfc_cache_p2_1,0,None,4,33.0,4,4,0,0,0,False,100.0,5.5,8.25
0,1758208354.0657644,0.0,2,0.0183,0.0083,0.0275,36.0,0.0,15.21,None,None,8.964,True,None,sfc_unique_p2_1,0,None,4,33.0,4,4,0,0,0,False,100.0,5.5,8.25
0,1758208354.0856674,0.0,3,0.0408,0.01,0.0275,36.0,0.0,4.3,None,None,7.36,True,None,sfc_cache_p3_1,0,None,8,66.0,7,6,0,0,0,False,100.0,8.166666666666666,5.5
0,1758208354.0864186,0.0,3,0.0408,0.01,0.0275,36.0,0.0,6.39,None,None,8.476,True,None,sfc_unique_p3_1,0,None,8,66.0,7,6,0,0,0,False,100.0,8.166666666666666,5.5
0,1758208354.1121533,0.1,4,0.0483,0.0142,0.0275,54.0,0.0,8.71,None,None,10.776,True,None,sfc_cache_p4_1,0,None,12,99.0,10,8,0,0,0,False,100.0,7.25,4.125
0,1758208354.112593,0.1,4,0.0483,0.0142,0.0275,54.0,0.0,15.21,None,None,8.478,True,None,sfc_unique_p4_1,0,None,12,99.0,10,8,0,0,0,False,100.0,7.25,4.125
0,1758208371.0456314,17.0,6,0.0592,0.0205,0.055,72.0,0.0,7.77,None,None,8.028,True,None,sfc_cache_p1_2,0,None,12,99.0,11,10,0,0,0,False,100.0,7.1,6.6
0,1758208371.0459616,17.0,6,0.0592,0.0205,0.055,72.0,0.0,13.18,None,None,8.734,True,None,sfc_unique_p1_2,0,None,12,99.0,11,10,0,0,0,False,100.0,7.1,6.6
0,1758208371.0662086,17.0,7,0.0667,0.0267,0.055,90.0,0.0,8.62,None,None,7.677,True,None,sfc_cache_p2_2,0,None,16,132.0,14,12,0,0,0,False,100.0,6.666666666666667,5.5
0,1758208371.0664818,17.0,7,0.0667,0.0267,0.055,90.0,0.0,14.87,None,None,9.893,True,None,sfc_unique_p2_2,0,None,16,132.0,14,12,0,0,0,False,100.0,6.666666666666667,5.5
0,1758208371.0900972,17.0,8,0.0742,0.033,0.055,108.0,0.0,7.38,None,None,7.571,True,None,sfc_cache_p3_2,0,None,20,165.0,17,14,0,0,0,False,100.0,6.357142857142857,4.714285714285714
0,1758208371.0904794,17.0,8,0.0742,0.033,0.055,108.0,0.0,12.39,None,None,8.332,True,None,sfc_unique_p3_2,0,None,20,165.0,17,14,0,0,0,False,100.0,6.357142857142857,4.714285714285714
0,1758208371.1119742,17.1,9,0.0817,0.0393,0.055,126.0,0.0,6.69,None,None,7.494,True,None,sfc_cache_p4_2,0,None,24,198.0,20,16,0,0,0,False,100.0,6.125,4.125
0,1758208371.1123323,17.1,9,0.0817,0.0393,0.055,126.0,0.0,11.03,None,None,8.129,True,None,sfc_unique_p4_2,0,None,24,198.0,20,16,0,0,0,False,100.0,6.125,4.125
