No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow
0,1758147509.246979,0,1,0.0108,0.0063,0.0275,18.0,0.0,7.62,None,None,8.737,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,6.5,16.5
0,1758147509.2480254,0.0,1,0.0108,0.0063,0.0275,18.0,0.0,12.53,None,None,8.418,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,6.5,16.5
0,1758147509.267131,0.0,2,0.0333,0.0092,0.0275,18.0,0.0,5.08,None,None,7.34,True,None,sfc_cache_p2_1,0,None,4,33.0,4,4,0,0,0,False,100.0,10.0,8.25
0,1758147509.267442,0.0,2,0.0333,0.0092,0.0275,18.0,0.0,6.75,None,None,7.806,True,None,sfc_unique_p2_1,0,None,4,33.0,4,4,0,0,0,False,100.0,10.0,8.25
0,1758147509.2895513,0.0,3,0.0408,0.0155,0.0275,36.0,0.0,7.75,None,None,7.907,True,None,sfc_cache_p3_1,0,None,8,66.0,7,6,0,0,0,False,100.0,8.166666666666666,5.5
0,1758147509.2898047,0.0,3,0.0408,0.0155,0.0275,36.0,0.0,12.79,None,None,8.547,True,None,sfc_unique_p3_1,0,None,8,66.0,7,6,0,0,0,False,100.0,8.166666666666666,5.5
0,1758147509.3155305,0.1,4,0.0483,0.0217,0.0275,54.0,0.0,7.24,None,None,7.94,True,None,sfc_cache_p4_1,0,None,12,99.0,10,8,0,0,0,False,100.0,7.25,4.125
0,1758147509.3158233,0.1,4,0.0483,0.0217,0.0275,54.0,0.0,11.78,None,None,8.533,True,None,sfc_unique_p4_1,0,None,12,99.0,10,8,0,0,0,False,100.0,7.25,4.125
0,1758147527.2487602,18.0,6,0.0592,0.028,0.055,72.0,0.0,9.83,None,None,7.857,True,None,sfc_cache_p1_2,0,None,12,99.0,11,10,0,0,0,False,100.0,7.1,6.6
0,1758147527.2491448,18.0,6,0.0592,0.028,0.055,72.0,0.0,16.7,None,None,9.517,True,None,sfc_unique_p1_2,0,None,12,99.0,11,10,0,0,0,False,100.0,7.1,6.6
0,1758147527.2784364,18.0,7,0.085,0.0329,0.0825,72.0,0.0,7.16,None,None,8.254,True,None,sfc_cache_p2_2,0,None,12,99.0,13,12,0,0,0,False,100.0,8.5,8.25
0,1758147527.2787445,18.0,7,0.085,0.0329,0.0825,72.0,0.0,10.49,None,None,8.237,True,None,sfc_unique_p2_2,0,None,12,99.0,13,12,0,0,0,False,100.0,8.5,8.25
0,1758147527.3033144,18.1,8,0.1072,0.0384,0.11,72.0,0.0,6.43,None,None,7.154,True,None,sfc_cache_p3_2,0,None,16.33,99.0,16,14,0,0,0,False,100.0,9.190714285714284,9.428571428571429
0,1758147527.3036933,18.1,8,0.1072,0.0384,0.11,72.0,0.0,8.78,None,None,7.922,True,None,sfc_unique_p3_2,0,None,16.33,99.0,16,14,0,0,0,False,100.0,9.190714285714284,9.428571428571429
0,1758147527.3371696,18.1,9,0.1147,0.0479,0.11,90.0,0.0,9.55,None,None,7.768,True,None,sfc_cache_p4_2,0,None,20.33,132.0,19,16,0,0,0,False,100.0,8.604375,8.25
0,1758147527.3375208,18.1,9,0.1147,0.0479,0.11,90.0,0.0,15.56,None,None,8.912,True,None,sfc_unique_p4_2,0,None,20.33,132.0,19,16,0,0,0,False,100.0,8.604375,8.25
0,1758147556.279589,47.0,11,0.1406,0.0504,0.1375,90.0,0.0,4.62,None,None,6.951,True,None,sfc_cache_p1_3,0,None,20.33,132.0,20,18,0,0,0,False,100.0,9.370555555555555,9.166666666666666
0,1758147556.2798872,47.0,11,0.1406,0.0504,0.1375,90.0,0.0,6.82,None,None,7.333,True,None,sfc_unique_p1_3,0,None,20.33,132.0,20,18,0,0,0,False,100.0,9.370555555555555,9.166666666666666
